,lda_class_all,var_class_all,dist_class_all,can
0,"{2: [0.20132865792121388], 1: [0.17940509087600887], 0: [0.6298725934505301]}","{2: [0.5138198605579056], 1: [0.8378851102328059], 0: [0.5460207284833618]}","{0: [0.0591042793645596], 1: [0, 0.05931478683230105], 2: [0.06774763182210645, 0], 3: [0.2080279565531456, 0]}","[1, 1, 2]"
1,"{3: [0.08687884423032001], 2: [0.2664127193703964], 1: [0.17940509087600887], 0: [0.6298725934505301]}","{3: [0.6478192066644282], 2: [0.505670332392022], 1: [0.8378851102328059], 0: [0.5460207284833618]}","{0: [0.0591042793645596], 1: [0, 0.05931478683230105], 2: [0.06774763182210645, 0], 3: [0.13410970736365252, 0], 4: [0.6, 0]}","[2, 1, 2]"
2,"{3: [0.06916237578192977], 2: [0.19364732297702314], 1: [0.1721110358276823], 0: [0.6298725934505301]}","{3: [0.515714910885524], 2: [0.35660078829211805], 1: [0.8428062461933459], 0: [0.5460207284833618]}","{0: [0.0591042793645596], 1: [0, 0.05931478683230105], 2: [0.07483932593923037, 0], 3: [0, 0.13410970736365252], 4: [0.8, 0]}","[3, 1, 2]"
3,"{3: [0.06916237578192977], 2: [0.19364732297702314], 1: [0.1721110358276823], 0: [0.6298725934505301]}","{3: [0.515714910885524], 2: [0.35660078829211805], 1: [0.8428062461933459], 0: [0.5460207284833618]}","{0: [0.0591042793645596], 1: [0, 0.05931478683230105], 2: [0.07483932593923037, 0], 3: [0, 0.13410970736365252], 4: [0.8, 0]}","[5, 1, 2]"
4,"{3: [0.16362742117298704], 2: [0.19364732297702314], 1: [0.1721110358276823], 0: [0.6298725934505301]}","{3: [0.4841196755552834], 2: [0.35660078829211805], 1: [0.8428062461933459], 0: [0.5460207284833618]}","{0: [0.0591042793645596], 1: [0, 0.05931478683230105], 2: [0.07483932593923037, 0], 3: [0, 0.13410970736365252], 4: [0, 0.5525395698062558]}","[7, 1, 2]"
5,"{3: [0.16362742117298704], 2: [0.19364732297702314], 1: [0.1721110358276823], 0: [0.6298725934505301]}","{3: [0.4841196755552834], 2: [0.35660078829211805], 1: [0.8428062461933459], 0: [0.5460207284833618]}","{0: [0.0591042793645596], 1: [0, 0.05931478683230105], 2: [0.07483932593923037, 0], 3: [0, 0.13410970736365252], 4: [0, 0.5525395698062558]}","[10, 1, 2]"
6,"{3: [0.04884650374039108], 2: [0.16575603534045588], 1: [0.7138895305770045], 0: [1.0144995473554046]}","{3: [0.5195057566933623], 2: [0.951774888780437], 1: [0.803304576556466], 0: [0.6032822093069024]}","{0: [0.0551102584045034], 1: [0, 0.04303556614691399], 2: [0.19979024524563035, 0.0495961070868157], 3: [0.09402495181438898, 0], 4: [0, 0.8]}","[1, 1, 2]"
7,"{3: [0.0750055580616325], 2: [0.21388603916467697], 1: [0.653727925271994], 0: [0.9148477494942808]}","{3: [0.4413344215935175], 2: [0.9112173282544036], 1: [0.8230375576865664], 0: [0.6049906106956754]}","{0: [0.0551102584045034], 1: [0, 0.04601718298705262], 2: [0.19979024524563035, 0.059564480748989165], 3: [0.055910732040880574, 0], 4: [0, 0.26378435051402715]}","[2, 1, 2]"
8,"{3: [0.127099474955999], 2: [0.2518390876460324], 1: [0.41075653663385103], 0: [0.6599151145756933]}","{3: [0.581276662173412], 2: [0.6154489252415414], 1: [0.8299836009655001], 0: [0.5657211375410817]}","{0: [0.0551102584045034], 1: [0, 0.05645257727173826], 2: [0.03077369240778326, 0], 3: [0, 0.07899084108188079], 4: [0, 0.26393436711371193]}","[3, 1, 2]"
9,"{3: [0.1732922602632667], 2: [0.2518390876460324], 1: [0.41075653663385103], 0: [0.6599151145756933]}","{3: [0.4892516107575501], 2: [0.6154489252415414], 1: [0.8299836009655001], 0: [0.5657211375410817]}","{0: [0.0551102584045034], 1: [0, 0.05645257727173826], 2: [0.03077369240778326, 0], 3: [0, 0.07899084108188079], 4: [0, 0.20697314148489973]}","[5, 1, 2]"
