,describe_tree,can,f1_score1,roc_auc,recall,prec,acc,score_arr,depth,num_node,score_train
0,"{split_feature:ISI,split_value:2.5,gini_value:0.03959866220735791,train_num_sample:195,lda_ratio:0.6298725934505301,var_ratio:0.5460207284833618,class_lda:0.8307395116447097,class_var:0.049100260175426735,class_dist:0.0591042793645596,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,class_lda:0.0436561518716556,class_var:0.0436561518716556,class_dist:0,depth:1},right_tree:{split_feature:FWI,split_value:3.4,gini_value:0.029813664596273298,train_num_sample:115,lda_ratio:0.17940509087600887,var_ratio:0.8378851102328059,class_lda:0.8261640687560524,class_var:0.049003745626771754,class_dist:0.05931478683230105,depth:1,left_tree:{split_feature: Ws,split_value:14.0,gini_value:0.21428571428571427,train_num_sample:7,lda_ratio:0.20132865792121388,var_ratio:0.5138198605579056,class_lda:2.986392088273875,class_var:0.2023209916728301,class_dist:0.06774763182210645,depth:2,left_tree:{leaf_value:1.0,train_num_sample:4,class_lda:0.8550155861943578,class_var:0.17786714521710217,class_dist:0.2080279565531456,depth:3},right_tree:{leaf_value:0.0,train_num_sample:3,class_lda:0.1960131040212551,class_var:0.1960131040212551,class_dist:0,depth:3}},right_tree:{leaf_value:1.0,train_num_sample:108,class_lda:0.04482946214443989,class_var:0.04482946214443989,class_dist:0,depth:2}}}","[1, 1, 2]",0.8979591836734693,0.9074074074074074,0.8148148148148148,1.0,0.8979591836734694,"[[22  5]
 [ 0 22]]",3,4,0.9948717948717949
1,"{split_feature:ISI,split_value:2.6,gini_value:0.04008368061897097,train_num_sample:195,lda_ratio:1.5904486450653441,var_ratio:0.5424432383941197,class_lda:0.8307395116447097,class_var:0.049100260175426735,class_dist:0.0591042793645596,depth:0,left_tree:{split_feature:FFMC,split_value:79.9,gini_value:0.01829268292682927,train_num_sample:82,lda_ratio:0.09030342504906834,var_ratio:0.9419259190627306,class_lda:0.8995961192006303,class_var:0.04311158007189193,class_dist:0.04792326150784236,depth:1,left_tree:{leaf_value:0.0,train_num_sample:78,class_lda:0.0429601585824291,class_var:0.0429601585824291,class_dist:0,depth:2},right_tree:{leaf_value:0.0,train_num_sample:4,class_lda:0.9132542838120835,class_var:0.18245929733443866,class_dist:0.19979024524563035,depth:2}},right_tree:{split_feature:FFMC,split_value:80.1,gini_value:0.017539663557362677,train_num_sample:113,lda_ratio:0.9529384411661675,var_ratio:0.8674526605341911,class_lda:0.8119671918724443,class_var:0.04904361762516025,class_dist:0.06040098432063834,depth:1,left_tree:{leaf_value:0.0,train_num_sample:2,class_lda:0.24999999999999983,class_var:0.24999999999999983,class_dist:0,depth:2},right_tree:{split_feature:FFMC,split_value:81.8,gini_value:0.013513513513513514,train_num_sample:111,lda_ratio:0.06733971144671654,var_ratio:0.9558554042057246,class_lda:0.7860340125705598,class_var:0.044277964109887914,class_dist:0.056330850067271385,depth:2,left_tree:{leaf_value:1.0,train_num_sample:4,class_lda:0.40178251979083845,class_var:0.1270954189412597,class_dist:0.3163288910812335,depth:3},right_tree:{leaf_value:1.0,train_num_sample:107,class_lda:0.04459515128486096,class_var:0.04459515128486096,class_dist:0,depth:3}}}}","[2, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[27  0]
 [ 0 22]]",3,5,0.9897435897435898
2,"{split_feature:ISI,split_value:2.6,gini_value:0.04008368061897097,train_num_sample:195,lda_ratio:1.5904486450653441,var_ratio:0.5424432383941197,class_lda:0.8307395116447097,class_var:0.049100260175426735,class_dist:0.0591042793645596,depth:0,left_tree:{split_feature:ISI,split_value:2.4,gini_value:0.01951219512195121,train_num_sample:82,lda_ratio:0.10067144332284413,var_ratio:0.9316540942957294,class_lda:0.8995961192006303,class_var:0.04311158007189193,class_dist:0.04792326150784236,depth:1,left_tree:{leaf_value:0.0,train_num_sample:77,class_lda:0.0435077875897175,class_var:0.0435077875897175,class_dist:0,depth:2},right_tree:{leaf_value:0.0,train_num_sample:5,class_lda:1.0109682194932246,class_var:0.1503220639351098,class_dist:0.14869118636633588,depth:2}},right_tree:{split_feature:FFMC,split_value:80.1,gini_value:0.017539663557362677,train_num_sample:113,lda_ratio:0.9529384411661675,var_ratio:0.8674526605341911,class_lda:0.8119671918724443,class_var:0.04904361762516025,class_dist:0.06040098432063834,depth:1,left_tree:{leaf_value:0.0,train_num_sample:2,class_lda:0.24999999999999983,class_var:0.24999999999999983,class_dist:0,depth:2},right_tree:{split_feature:FWI,split_value:3.6,gini_value:0.013513513513513514,train_num_sample:111,lda_ratio:0.10075183668346561,var_ratio:0.9604703810239644,class_lda:0.7860340125705598,class_var:0.044277964109887914,class_dist:0.056330850067271385,depth:2,left_tree:{leaf_value:1.0,train_num_sample:4,class_lda:0.5730067759922179,class_var:0.1481050910567937,class_dist:0.25847005177266025,depth:3},right_tree:{leaf_value:1.0,train_num_sample:107,class_lda:0.04476393302854925,class_var:0.04476393302854925,class_dist:0,depth:3}}}}","[3, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[27  0]
 [ 0 22]]",3,5,0.9897435897435898
3,"{split_feature:ISI,split_value:2.6,gini_value:0.04008368061897097,train_num_sample:195,lda_ratio:1.5904486450653441,var_ratio:0.5424432383941197,class_lda:0.8307395116447097,class_var:0.049100260175426735,class_dist:0.0591042793645596,depth:0,left_tree:{split_feature:FFMC,split_value:79.5,gini_value:0.021341463414634148,train_num_sample:82,lda_ratio:0.11772098745900403,var_ratio:0.8770496601676897,class_lda:0.8995961192006303,class_var:0.04311158007189193,class_dist:0.04792326150784236,depth:1,left_tree:{leaf_value:0.0,train_num_sample:74,class_lda:0.04246536063846914,class_var:0.04246536063846914,class_dist:0,depth:2},right_tree:{split_feature: RH,split_value:55.0,gini_value:0.16666666666666669,train_num_sample:8,lda_ratio:0.4417261142974557,var_ratio:0.8009697818218889,class_lda:1.2461675598985535,class_var:0.1182823132084632,class_dist:0.0949168611146419,depth:2,left_tree:{leaf_value:0.0,train_num_sample:5,class_lda:0.1623954334306174,class_var:0.1623954334306174,class_dist:0,depth:3},right_tree:{leaf_value:0.0,train_num_sample:3,class_lda:1.0333222883491406,class_var:0.2035025,class_dist:0.19694000825736593,depth:3}}},right_tree:{split_feature:FFMC,split_value:80.1,gini_value:0.017539663557362677,train_num_sample:113,lda_ratio:0.9529384411661675,var_ratio:0.8674526605341911,class_lda:0.8119671918724443,class_var:0.04904361762516025,class_dist:0.06040098432063834,depth:1,left_tree:{leaf_value:0.0,train_num_sample:2,class_lda:0.24999999999999983,class_var:0.24999999999999983,class_dist:0,depth:2},right_tree:{split_feature:FFMC,split_value:82.5,gini_value:0.014414414414414406,train_num_sample:111,lda_ratio:0.1103526117202406,var_ratio:0.9535664456081613,class_lda:0.7860340125705598,class_var:0.044277964109887914,class_dist:0.056330850067271385,depth:2,left_tree:{split_feature:FWI,split_value:3.4,gini_value:0.2,train_num_sample:5,lda_ratio:0.03480951077451965,var_ratio:0.3692090389224188,class_lda:1.5958875022264807,class_var:0.1504623596589329,class_dist:0.0942813070777341,depth:3,left_tree:{leaf_value:1.0,train_num_sample:2,class_lda:0.0,class_var:0.0,class_dist:0.8,depth:4},right_tree:{leaf_value:1.0,train_num_sample:3,class_lda:0.18906594158239204,class_var:0.18906594158239204,class_dist:0,depth:4}},right_tree:{leaf_value:1.0,train_num_sample:106,class_lda:0.045114678502903086,class_var:0.045114678502903086,class_dist:0,depth:3}}}}","[5, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[27  0]
 [ 0 22]]",3,7,0.9897435897435898
4,"{split_feature:ISI,split_value:2.6,gini_value:0.04008368061897097,train_num_sample:195,lda_ratio:1.5904486450653441,var_ratio:0.5424432383941197,class_lda:0.8307395116447097,class_var:0.049100260175426735,class_dist:0.0591042793645596,depth:0,left_tree:{split_feature:FFMC,split_value:79.5,gini_value:0.021341463414634148,train_num_sample:82,lda_ratio:0.11772098745900403,var_ratio:0.8770496601676897,class_lda:0.8995961192006303,class_var:0.04311158007189193,class_dist:0.04792326150784236,depth:1,left_tree:{leaf_value:0.0,train_num_sample:74,class_lda:0.04246536063846914,class_var:0.04246536063846914,class_dist:0,depth:2},right_tree:{split_feature: RH,split_value:54.0,gini_value:0.1875,train_num_sample:8,lda_ratio:0.5859345950232383,var_ratio:0.7077524848094856,class_lda:1.2461675598985535,class_var:0.1182823132084632,class_dist:0.0949168611146419,depth:2,left_tree:{leaf_value:0.0,train_num_sample:4,class_lda:0.16803856854512744,class_var:0.16803856854512744,class_dist:0,depth:3},right_tree:{split_feature:FFMC,split_value:79.9,gini_value:0.25,train_num_sample:4,lda_ratio:0.06266241757934307,var_ratio:0.43631772461472595,class_lda:1.2538079154255348,class_var:0.18006748460667246,class_dist:0.1436164841450683,depth:3,left_tree:{leaf_value:0.0,train_num_sample:2,class_lda:0.225,class_var:0.225,class_dist:0,depth:4},right_tree:{leaf_value:1.0,train_num_sample:2,class_lda:0.0,class_var:0.0,class_dist:0.6,depth:4}}}},right_tree:{split_feature:FFMC,split_value:80.1,gini_value:0.017539663557362677,train_num_sample:113,lda_ratio:0.9529384411661675,var_ratio:0.8674526605341911,class_lda:0.8119671918724443,class_var:0.04904361762516025,class_dist:0.06040098432063834,depth:1,left_tree:{leaf_value:0.0,train_num_sample:2,class_lda:0.24999999999999983,class_var:0.24999999999999983,class_dist:0,depth:2},right_tree:{split_feature:FFMC,split_value:82.7,gini_value:0.01501501501501501,train_num_sample:111,lda_ratio:0.12328235831059207,var_ratio:0.9520452993550318,class_lda:0.7860340125705598,class_var:0.044277964109887914,class_dist:0.056330850067271385,depth:2,left_tree:{split_feature: Ws,split_value:15.0,gini_value:0.2222222222222222,train_num_sample:6,lda_ratio:0.5341998703276536,var_ratio:0.6703112528910901,class_lda:1.6304931437722838,class_var:0.1435004144758785,class_dist:0.08801043722507054,depth:3,left_tree:{leaf_value:1.0,train_num_sample:3,class_lda:1.0322623453367659,class_var:0.22623456790123447,class_dist:0.21916382877206236,depth:4},right_tree:{leaf_value:1.0,train_num_sample:3,class_lda:0.18906594158239204,class_var:0.18906594158239204,class_dist:0,depth:4}},right_tree:{leaf_value:1.0,train_num_sample:105,class_lda:0.04522639249015541,class_var:0.04522639249015541,class_dist:0,depth:3}}}}","[7, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[27  0]
 [ 0 22]]",4,8,0.9897435897435898
5,"{split_feature:ISI,split_value:2.6,gini_value:0.04008368061897097,train_num_sample:195,lda_ratio:1.5904486450653441,var_ratio:0.5424432383941197,class_lda:0.8307395116447097,class_var:0.049100260175426735,class_dist:0.0591042793645596,depth:0,left_tree:{split_feature:FFMC,split_value:78.8,gini_value:0.022357723577235786,train_num_sample:82,lda_ratio:0.21445735153399004,var_ratio:0.7941353282713666,class_lda:0.8995961192006303,class_var:0.04311158007189193,class_dist:0.04792326150784236,depth:1,left_tree:{leaf_value:0.0,train_num_sample:70,class_lda:0.04013008508364029,class_var:0.04013008508364029,class_dist:0,depth:2},right_tree:{split_feature: RH,split_value:58.0,gini_value:0.13333333333333328,train_num_sample:12,lda_ratio:0.41390306558652035,var_ratio:0.750553281248287,class_lda:0.9535065405372789,class_var:0.09045132526987823,class_dist:0.09486177747549691,depth:2,left_tree:{leaf_value:0.0,train_num_sample:7,class_lda:0.12185423393785637,class_var:0.12185423393785637,class_dist:0,depth:3},right_tree:{split_feature:BUI,split_value:8.4,gini_value:0.26666666666666666,train_num_sample:5,lda_ratio:0.34243513343431164,var_ratio:0.5060688458339274,class_lda:1.182170599242701,class_var:0.14795396586185988,class_dist:0.12515449627713568,depth:3,left_tree:{leaf_value:0.0,train_num_sample:3,class_lda:0.49629745840675943,class_var:0.14660419753086418,class_dist:0.295395825724155,depth:4},right_tree:{leaf_value:0.0,train_num_sample:2,class_lda:0.225,class_var:0.225,class_dist:0,depth:4}}}},right_tree:{split_feature:FFMC,split_value:80.1,gini_value:0.017539663557362677,train_num_sample:113,lda_ratio:0.9529384411661675,var_ratio:0.8674526605341911,class_lda:0.8119671918724443,class_var:0.04904361762516025,class_dist:0.06040098432063834,depth:1,left_tree:{leaf_value:0.0,train_num_sample:2,class_lda:0.24999999999999983,class_var:0.24999999999999983,class_dist:0,depth:2},right_tree:{split_feature:FFMC,split_value:82.8,gini_value:0.015444015444015448,train_num_sample:111,lda_ratio:0.1643817174321685,var_ratio:0.9463086788496752,class_lda:0.7860340125705598,class_var:0.044277964109887914,class_dist:0.056330850067271385,depth:2,left_tree:{split_feature:BUI,split_value:11.7,gini_value:0.21428571428571427,train_num_sample:7,lda_ratio:0.2999915396850123,var_ratio:0.4835830521970198,class_lda:2.1672170487550417,class_var:0.1395658608444557,class_dist:0.06439865399020801,depth:3,left_tree:{leaf_value:1.0,train_num_sample:4,class_lda:1.0741728992208524,class_var:0.17132986399319844,class_dist:0.15949933583082573,depth:4},right_tree:{leaf_value:1.0,train_num_sample:3,class_lda:0.18581564936649614,class_var:0.18581564936649614,class_dist:0,depth:4}},right_tree:{leaf_value:1.0,train_num_sample:104,class_lda:0.045283797155422516,class_var:0.045283797155422516,class_dist:0,depth:3}}}}","[10, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[27  0]
 [ 0 22]]",4,8,0.9897435897435898
6,"{split_feature:FFMC,split_value:80.13434343434344,gini_value:0.03958614484930275,train_num_sample:195,lda_ratio:1.0144995473554046,var_ratio:0.6032822093069024,class_lda:0.9225476555088593,class_var:0.05084183968556202,class_dist:0.0551102584045034,depth:0,left_tree:{leaf_value:0.0,train_num_sample:81,class_lda:0.04201280547051964,class_var:0.04201280547051964,class_dist:0,depth:1},right_tree:{split_feature:ISI,split_value:2.6,gini_value:0.030542264752790992,train_num_sample:114,lda_ratio:0.7138895305770045,var_ratio:0.803304576556466,class_lda:1.2263567534055855,class_var:0.052776957180900766,class_dist:0.04303556614691399,depth:1,left_tree:{leaf_value:0.0,train_num_sample:4,class_lda:0.9132542838120833,class_var:0.18245929733443864,class_dist:0.19979024524563035,depth:2},right_tree:{split_feature:ISI,split_value:3.0,gini_value:0.015151515151515145,train_num_sample:110,lda_ratio:0.16575603534045588,var_ratio:0.951774888780437,class_lda:0.8823305059394121,class_var:0.04376015825853536,class_dist:0.0495961070868157,depth:2,left_tree:{split_feature: RH,split_value:75.0,gini_value:0.16666666666666666,train_num_sample:6,lda_ratio:0.04884650374039108,var_ratio:0.5195057566933623,class_lda:1.3667823722561163,class_var:0.1285116466921376,class_dist:0.09402495181438898,depth:3,left_tree:{leaf_value:1.0,train_num_sample:4,class_lda:0.143238154055686,class_var:0.143238154055686,class_dist:0,depth:4},right_tree:{leaf_value:1.0,train_num_sample:2,class_lda:0.0,class_var:0.0,class_dist:0.8,depth:4}},right_tree:{leaf_value:1.0,train_num_sample:104,class_lda:0.04491437648160575,class_var:0.04491437648160575,class_dist:0,depth:3}}}}","[1, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[28  0]
 [ 0 21]]",3,5,0.9897435897435898
7,"{split_feature:FFMC,split_value:80.13434343434344,gini_value:0.03958614484930275,train_num_sample:195,lda_ratio:1.0144995473554046,var_ratio:0.6032822093069024,class_lda:0.9225476555088593,class_var:0.05084183968556202,class_dist:0.0551102584045034,depth:0,left_tree:{leaf_value:0.0,train_num_sample:81,class_lda:0.04201280547051964,class_var:0.04201280547051964,class_dist:0,depth:1},right_tree:{split_feature:ISI,split_value:2.6,gini_value:0.030542264752790992,train_num_sample:114,lda_ratio:0.7138895305770045,var_ratio:0.803304576556466,class_lda:1.2263567534055855,class_var:0.052776957180900766,class_dist:0.04303556614691399,depth:1,left_tree:{leaf_value:0.0,train_num_sample:4,class_lda:0.9132542838120833,class_var:0.18245929733443864,class_dist:0.19979024524563035,depth:2},right_tree:{split_feature:ISI,split_value:3.0,gini_value:0.015151515151515145,train_num_sample:110,lda_ratio:0.16575603534045588,var_ratio:0.951774888780437,class_lda:0.8823305059394121,class_var:0.04376015825853536,class_dist:0.0495961070868157,depth:2,left_tree:{split_feature:FFMC,split_value:81.4,gini_value:0.16666666666666666,train_num_sample:6,lda_ratio:0.04884650374039108,var_ratio:0.5195057566933623,class_lda:1.3667823722561163,class_var:0.1285116466921376,class_dist:0.09402495181438898,depth:3,left_tree:{leaf_value:1.0,train_num_sample:4,class_lda:0.143238154055686,class_var:0.143238154055686,class_dist:0,depth:4},right_tree:{leaf_value:1.0,train_num_sample:2,class_lda:0.0,class_var:0.0,class_dist:0.8,depth:4}},right_tree:{leaf_value:1.0,train_num_sample:104,class_lda:0.04491437648160575,class_var:0.04491437648160575,class_dist:0,depth:3}}}}","[2, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[28  0]
 [ 0 21]]",3,5,0.9897435897435898
8,"{split_feature:FFMC,split_value:80.13434343434344,gini_value:0.03958614484930275,train_num_sample:195,lda_ratio:1.0144995473554046,var_ratio:0.6032822093069024,class_lda:0.9225476555088593,class_var:0.05084183968556202,class_dist:0.0551102584045034,depth:0,left_tree:{leaf_value:0.0,train_num_sample:81,class_lda:0.04201280547051964,class_var:0.04201280547051964,class_dist:0,depth:1},right_tree:{split_feature:ISI,split_value:2.7,gini_value:0.038435538387252444,train_num_sample:114,lda_ratio:0.7487280793431026,var_ratio:0.8133538635860861,class_lda:1.2263567534055855,class_var:0.052776957180900766,class_dist:0.04303556614691399,depth:1,left_tree:{split_feature: Ws,split_value:13.0,gini_value:0.26666666666666666,train_num_sample:5,lda_ratio:0.4052119050940101,var_ratio:0.5217673058640656,class_lda:1.8240728312622396,class_var:0.24831794507750263,class_dist:0.13613378853171623,depth:2,left_tree:{leaf_value:0.0,train_num_sample:2,class_lda:0.225,class_var:0.225,class_dist:0,depth:3},right_tree:{leaf_value:1.0,train_num_sample:3,class_lda:1.0910016286492803,class_var:0.23939262136492467,class_dist:0.21942462328063236,depth:3}},right_tree:{split_feature:FFMC,split_value:82.2,gini_value:0.01572739187418087,train_num_sample:109,lda_ratio:0.16859337834754898,var_ratio:0.9328890645161069,class_lda:0.874169302345501,class_var:0.043733506864831295,class_dist:0.05002864633600042,depth:2,left_tree:{split_feature:FFMC,split_value:81.4,gini_value:0.14285714285714285,train_num_sample:7,lda_ratio:0.056166448413365024,var_ratio:0.6567051152767741,class_lda:1.5734733486759749,class_var:0.13457548542311393,class_dist:0.08552765481306353,depth:3,left_tree:{leaf_value:1.0,train_num_sample:5,class_lda:0.1388733745665,class_var:0.1388733745665,class_dist:0,depth:4},right_tree:{leaf_value:1.0,train_num_sample:2,class_lda:0.0,class_var:0.0,class_dist:0.8999999999999944,depth:4}},right_tree:{leaf_value:1.0,train_num_sample:102,class_lda:0.04555468429684232,class_var:0.04555468429684232,class_dist:0,depth:3}}}}","[3, 1, 2]",0.9818181818181818,0.9821428571428572,0.9642857142857143,1.0,0.9795918367346939,"[[27  1]
 [ 0 21]]",3,6,0.9897435897435898
9,"{split_feature:ISI,split_value:2.7,gini_value:0.04996204996204994,train_num_sample:195,lda_ratio:1.3833687000559147,var_ratio:0.7244349222095732,class_lda:0.9225476555088593,class_var:0.05084183968556202,class_dist:0.0551102584045034,depth:0,left_tree:{split_feature:FWI,split_value:4.2,gini_value:0.035423925667828135,train_num_sample:84,lda_ratio:0.9529093800309242,var_ratio:0.4403344314452458,class_lda:0.8934174984582105,class_var:0.0870246975551545,class_dist:0.09740652909231672,depth:1,left_tree:{split_feature:FFMC,split_value:79.7,gini_value:0.020905923344947744,train_num_sample:82,lda_ratio:0.21989096616688059,var_ratio:0.9015271303521895,class_lda:0.8716534401620053,class_var:0.04389265829046175,class_dist:0.05035563019438537,depth:2,left_tree:{leaf_value:0.0,train_num_sample:75,class_lda:0.04354698657089191,class_var:0.04354698657089191,class_dist:0,depth:3},right_tree:{split_feature: RH,split_value:70.0,gini_value:0.19047619047619047,train_num_sample:7,lda_ratio:0.11730506206163288,var_ratio:0.6622079159662698,class_lda:2.4726338073241836,class_var:0.12909304308713307,class_dist:0.052208718777825826,depth:3,left_tree:{leaf_value:0.0,train_num_sample:4,class_lda:0.16431776343128263,class_var:0.16431776343128263,class_dist:0,depth:4},right_tree:{leaf_value:0.0,train_num_sample:3,class_lda:0.4915366208549269,class_var:0.1697589135860021,class_dist:0.3453637153031271,depth:4}}},right_tree:{leaf_value:1.0,train_num_sample:2,class_lda:0.0,class_var:0.0,class_dist:0.8,depth:2}},right_tree:{split_feature:FFMC,split_value:80.0,gini_value:0.017852715100421423,train_num_sample:111,lda_ratio:0.9416174328750564,var_ratio:0.8553758961304273,class_lda:0.9151740537031178,class_var:0.05021081341852996,class_dist:0.054864769401360605,depth:1,left_tree:{leaf_value:0.0,train_num_sample:2,class_lda:0.15,class_var:0.15,class_dist:0,depth:2},right_tree:{split_feature:FFMC,split_value:82.3,gini_value:0.016055045871559634,train_num_sample:109,lda_ratio:0.1671009963338062,var_ratio:0.9240420151497643,class_lda:0.874169302345501,class_var:0.043733506864831295,class_dist:0.05002864633600042,depth:2,left_tree:{split_feature: Ws,split_value:15.0,gini_value:0.16666666666666669,train_num_sample:8,lda_ratio:0.25739202944627454,var_ratio:0.7846387413196807,class_lda:1.8672387544764577,class_var:0.13264499176847805,class_dist:0.07103804559030238,depth:3,left_tree:{leaf_value:1.0,train_num_sample:3,class_lda:2.02201871317517,class_var:0.20581717451523543,class_dist:0.1017879672300566,depth:4},right_tree:{leaf_value:1.0,train_num_sample:5,class_lda:0.15309564198785666,class_var:0.15309564198785666,class_dist:0,depth:4}},right_tree:{leaf_value:1.0,train_num_sample:101,class_lda:0.04807845244428509,class_var:0.04807845244428509,class_dist:0,depth:3}}}}","[5, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[28  0]
 [ 0 21]]",4,8,0.9846153846153847
