,describe_tree,can,f1_score1,roc_auc,recall,prec,acc,score_arr,depth,num_node,score_train
0,"{split_feature:ISI,split_value:2.5,gini_value:0.03263020510059765,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,depth:1},right_tree:{split_feature:FWI,split_value:3.4,gini_value:0.014592270949974206,train_num_sample:115,depth:1,left_tree:{split_feature: Ws,split_value:14.0,gini_value:0.1962829229037246,train_num_sample:7,depth:2,left_tree:{leaf_value:1.0,train_num_sample:4,depth:3},right_tree:{leaf_value:0.0,train_num_sample:3,depth:3}},right_tree:{leaf_value:1.0,train_num_sample:108,depth:2}}}","[1, 0.02, 0.02, 1, 2]",0.8979591836734693,0.9074074074074074,0.8148148148148148,1.0,0.8979591836734694,"[[22  5]
 [ 0 22]]",3,4,0.9948717948717949
1,"{split_feature:FFMC,split_value:82.53636363636363,gini_value:0.0006536360742897113,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:89,depth:1},right_tree:{leaf_value:1.0,train_num_sample:106,depth:1}}","[1, 0.1, 0.1, 1, 2]",0.8750000000000001,0.8888888888888888,0.7777777777777778,1.0,0.8775510204081632,"[[21  6]
 [ 0 22]]",1,2,0.9743589743589743
2,"{split_feature:ISI,split_value:2.6,gini_value:0.03338742213853977,train_num_sample:195,depth:0,left_tree:{split_feature:DC,split_value:84.4,gini_value:0.0020077217329518195,train_num_sample:82,depth:1,left_tree:{split_feature:FWI,split_value:3.0,gini_value:-0.0009705260478003255,train_num_sample:79,depth:2,left_tree:{split_feature:FFMC,split_value:79.9,gini_value:0.0007684561946280086,train_num_sample:77,depth:3,left_tree:{leaf_value:0.0,train_num_sample:74,depth:4},right_tree:{leaf_value:0.0,train_num_sample:3,depth:4}},right_tree:{leaf_value:0.0,train_num_sample:2,depth:3}},right_tree:{leaf_value:0.0,train_num_sample:3,depth:2}},right_tree:{split_feature:FFMC,split_value:80.1,gini_value:0.011161650103180272,train_num_sample:113,depth:1,left_tree:{leaf_value:0.0,train_num_sample:2,depth:2},right_tree:{leaf_value:1.0,train_num_sample:111,depth:2}}}","[2, 0.02, 0.02, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[27  0]
 [ 0 22]]",4,6,0.9897435897435898
3,"{split_feature:FFMC,split_value:82.53636363636363,gini_value:0.0006536360742897113,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:89,depth:1},right_tree:{leaf_value:1.0,train_num_sample:106,depth:1}}","[2, 0.1, 0.1, 1, 2]",0.8750000000000001,0.8888888888888888,0.7777777777777778,1.0,0.8775510204081632,"[[21  6]
 [ 0 22]]",1,2,0.9743589743589743
4,"{split_feature:ISI,split_value:2.6,gini_value:0.03338742213853977,train_num_sample:195,depth:0,left_tree:{split_feature:DMC,split_value:18.7,gini_value:0.002152151633670942,train_num_sample:82,depth:1,left_tree:{split_feature:FWI,split_value:3.0,gini_value:-0.001345977854710802,train_num_sample:80,depth:2,left_tree:{split_feature:FFMC,split_value:79.9,gini_value:0.0007684561946280086,train_num_sample:77,depth:3,left_tree:{leaf_value:0.0,train_num_sample:74,depth:4},right_tree:{leaf_value:0.0,train_num_sample:3,depth:4}},right_tree:{leaf_value:0.0,train_num_sample:3,depth:3}},right_tree:{leaf_value:0.0,train_num_sample:2,depth:2}},right_tree:{split_feature:FFMC,split_value:80.1,gini_value:0.011161650103180272,train_num_sample:113,depth:1,left_tree:{leaf_value:0.0,train_num_sample:2,depth:2},right_tree:{leaf_value:1.0,train_num_sample:111,depth:2}}}","[3, 0.02, 0.02, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[27  0]
 [ 0 22]]",4,6,0.9897435897435898
5,"{split_feature:FFMC,split_value:82.53636363636363,gini_value:0.0006536360742897113,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:89,depth:1},right_tree:{leaf_value:1.0,train_num_sample:106,depth:1}}","[3, 0.1, 0.1, 1, 2]",0.8750000000000001,0.8888888888888888,0.7777777777777778,1.0,0.8775510204081632,"[[21  6]
 [ 0 22]]",1,2,0.9743589743589743
6,"{split_feature:ISI,split_value:2.6,gini_value:0.03338742213853977,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:82,depth:1},right_tree:{split_feature:FFMC,split_value:80.1,gini_value:0.011161650103180272,train_num_sample:113,depth:1,left_tree:{leaf_value:0.0,train_num_sample:2,depth:2},right_tree:{leaf_value:1.0,train_num_sample:111,depth:2}}}","[5, 0.02, 0.02, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[27  0]
 [ 0 22]]",2,3,0.9897435897435898
7,"{split_feature:ISI,split_value:2.6,gini_value:0.006602388216814953,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:82,depth:1},right_tree:{leaf_value:1.0,train_num_sample:113,depth:1}}","[5, 0.1, 0.1, 1, 2]",0.9818181818181818,0.9772727272727273,1.0,0.9642857142857143,0.9795918367346939,"[[27  0]
 [ 1 21]]",1,2,0.9794871794871794
8,"{split_feature:ISI,split_value:2.6,gini_value:0.03338742213853977,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:82,depth:1},right_tree:{split_feature:FFMC,split_value:80.1,gini_value:0.011161650103180272,train_num_sample:113,depth:1,left_tree:{leaf_value:0.0,train_num_sample:2,depth:2},right_tree:{leaf_value:1.0,train_num_sample:111,depth:2}}}","[7, 0.02, 0.02, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[27  0]
 [ 0 22]]",2,3,0.9897435897435898
9,"{split_feature:ISI,split_value:2.6,gini_value:0.006602388216814953,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:82,depth:1},right_tree:{leaf_value:1.0,train_num_sample:113,depth:1}}","[7, 0.1, 0.1, 1, 2]",0.9818181818181818,0.9772727272727273,1.0,0.9642857142857143,0.9795918367346939,"[[27  0]
 [ 1 21]]",1,2,0.9794871794871794
10,"{split_feature:ISI,split_value:2.6,gini_value:0.03338742213853977,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:82,depth:1},right_tree:{split_feature:FFMC,split_value:80.1,gini_value:0.011161650103180272,train_num_sample:113,depth:1,left_tree:{leaf_value:0.0,train_num_sample:2,depth:2},right_tree:{leaf_value:1.0,train_num_sample:111,depth:2}}}","[10, 0.02, 0.02, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[27  0]
 [ 0 22]]",2,3,0.9897435897435898
11,"{split_feature:ISI,split_value:2.6,gini_value:0.006602388216814953,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:82,depth:1},right_tree:{leaf_value:1.0,train_num_sample:113,depth:1}}","[10, 0.1, 0.1, 1, 2]",0.9818181818181818,0.9772727272727273,1.0,0.9642857142857143,0.9795918367346939,"[[27  0]
 [ 1 21]]",1,2,0.9794871794871794
12,"{split_feature:FFMC,split_value:80.13434343434344,gini_value:0.032057625772021016,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:81,depth:1},right_tree:{split_feature:ISI,split_value:2.6,gini_value:0.022703198033822806,train_num_sample:114,depth:1,left_tree:{leaf_value:0.0,train_num_sample:4,depth:2},right_tree:{leaf_value:1.0,train_num_sample:110,depth:2}}}","[1, 0.02, 0.02, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[28  0]
 [ 0 21]]",2,3,0.9897435897435898
