,describe_tree,can,f1_score1,roc_auc,recall,prec,acc,score_arr,depth,num_node,score_train
0,"{split_feature:ISI,split_value:2.5,gini_value:0.03263020510059765,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,depth:1},right_tree:{split_feature:FWI,split_value:3.4,gini_value:0.014592270949974206,train_num_sample:115,depth:1,left_tree:{split_feature: Ws,split_value:14.0,gini_value:0.1962829229037246,train_num_sample:7,depth:2,left_tree:{leaf_value:1.0,train_num_sample:4,depth:3},right_tree:{leaf_value:0.0,train_num_sample:3,depth:3}},right_tree:{leaf_value:1.0,train_num_sample:108,depth:2}}}","[1, 0.02, 0.02, 1, 2]",0.8979591836734693,0.9074074074074074,0.8148148148148148,1.0,0.8979591836734694,"[[22  5]
 [ 0 22]]",3,4,0.9948717948717949
1,"{split_feature:FFMC,split_value:82.53636363636363,gini_value:0.0006536360742897113,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:89,depth:1},right_tree:{leaf_value:1.0,train_num_sample:106,depth:1}}","[1, 0.1, 0.1, 1, 2]",0.8750000000000001,0.8888888888888888,0.7777777777777778,1.0,0.8775510204081632,"[[21  6]
 [ 0 22]]",1,2,0.9743589743589743
2,"{split_feature:ISI,split_value:2.5,gini_value:0.03263020510059765,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,depth:1},right_tree:{split_feature:FWI,split_value:3.6,gini_value:0.01980592255128923,train_num_sample:115,depth:1,left_tree:{split_feature:Temperature,split_value:30.0,gini_value:0.1809571883409532,train_num_sample:8,depth:2,left_tree:{leaf_value:1.0,train_num_sample:3,depth:3},right_tree:{leaf_value:0.0,train_num_sample:5,depth:3}},right_tree:{leaf_value:1.0,train_num_sample:107,depth:2}}}","[2, 0.02, 0.02, 1, 2]",0.9019607843137256,0.9031986531986532,0.8518518518518519,0.9583333333333334,0.8979591836734694,"[[23  4]
 [ 1 21]]",3,4,0.9948717948717949
3,"{split_feature:ISI,split_value:2.5,gini_value:0.0047563766735565895,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,depth:1},right_tree:{split_feature:FWI,split_value:3.4,gini_value:-0.04629330363522216,train_num_sample:115,depth:1,left_tree:{split_feature:Temperature,split_value:30.0,gini_value:0.11160246109213151,train_num_sample:7,depth:2,left_tree:{leaf_value:1.0,train_num_sample:2,depth:3},right_tree:{leaf_value:0.0,train_num_sample:5,depth:3}},right_tree:{leaf_value:1.0,train_num_sample:108,depth:2}}}","[2, 0.1, 0.1, 1, 2]",0.9019607843137256,0.9031986531986532,0.8518518518518519,0.9583333333333334,0.8979591836734694,"[[23  4]
 [ 1 21]]",3,4,0.9948717948717949
4,"{split_feature:ISI,split_value:2.5,gini_value:0.03263020510059765,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,depth:1},right_tree:{split_feature:FFMC,split_value:81.8,gini_value:0.020940468728891246,train_num_sample:115,depth:1,left_tree:{split_feature: RH,split_value:62.0,gini_value:0.16419082935058069,train_num_sample:8,depth:2,left_tree:{leaf_value:1.0,train_num_sample:3,depth:3},right_tree:{split_feature:DMC,split_value:6.3,gini_value:0.17282741099365206,train_num_sample:5,depth:3,left_tree:{leaf_value:1.0,train_num_sample:2,depth:4},right_tree:{leaf_value:0.0,train_num_sample:3,depth:4}}},right_tree:{leaf_value:1.0,train_num_sample:107,depth:2}}}","[3, 0.02, 0.02, 1, 2]",0.9811320754716981,0.9814814814814814,0.9629629629629629,1.0,0.9795918367346939,"[[26  1]
 [ 0 22]]",3,5,0.9948717948717949
5,"{split_feature:ISI,split_value:2.5,gini_value:0.0047563766735565895,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,depth:1},right_tree:{split_feature:FWI,split_value:3.6,gini_value:-0.040100822026162546,train_num_sample:115,depth:1,left_tree:{split_feature:Temperature,split_value:30.0,gini_value:0.10478594170476645,train_num_sample:8,depth:2,left_tree:{leaf_value:1.0,train_num_sample:3,depth:3},right_tree:{leaf_value:0.0,train_num_sample:5,depth:3}},right_tree:{leaf_value:1.0,train_num_sample:107,depth:2}}}","[3, 0.1, 0.1, 1, 2]",0.9019607843137256,0.9031986531986532,0.8518518518518519,0.9583333333333334,0.8979591836734694,"[[23  4]
 [ 1 21]]",3,4,0.9948717948717949
6,"{split_feature:ISI,split_value:2.5,gini_value:0.03263020510059765,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,depth:1},right_tree:{split_feature:FFMC,split_value:81.8,gini_value:0.020940468728891246,train_num_sample:115,depth:1,left_tree:{split_feature: RH,split_value:62.0,gini_value:0.16419082935058069,train_num_sample:8,depth:2,left_tree:{leaf_value:1.0,train_num_sample:3,depth:3},right_tree:{split_feature:BUI,split_value:8.1,gini_value:0.23064911485837486,train_num_sample:5,depth:3,left_tree:{leaf_value:0.0,train_num_sample:2,depth:4},right_tree:{leaf_value:0.0,train_num_sample:3,depth:4}}},right_tree:{leaf_value:1.0,train_num_sample:107,depth:2}}}","[5, 0.02, 0.02, 1, 2]",0.9615384615384615,0.962962962962963,0.9259259259259259,1.0,0.9591836734693877,"[[25  2]
 [ 0 22]]",4,5,0.9948717948717949
7,"{split_feature:ISI,split_value:2.5,gini_value:0.0047563766735565895,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,depth:1},right_tree:{split_feature:FFMC,split_value:81.8,gini_value:-0.03442809113815246,train_num_sample:115,depth:1,left_tree:{split_feature: RH,split_value:62.0,gini_value:0.020954146752903854,train_num_sample:8,depth:2,left_tree:{leaf_value:1.0,train_num_sample:3,depth:3},right_tree:{split_feature:BUI,split_value:8.1,gini_value:0.08657890762520762,train_num_sample:5,depth:3,left_tree:{leaf_value:0.0,train_num_sample:2,depth:4},right_tree:{leaf_value:0.0,train_num_sample:3,depth:4}}},right_tree:{leaf_value:1.0,train_num_sample:107,depth:2}}}","[5, 0.1, 0.1, 1, 2]",0.9615384615384615,0.962962962962963,0.9259259259259259,1.0,0.9591836734693877,"[[25  2]
 [ 0 22]]",4,5,0.9948717948717949
8,"{split_feature:ISI,split_value:2.5,gini_value:0.03263020510059765,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,depth:1},right_tree:{split_feature:FFMC,split_value:81.8,gini_value:0.020940468728891246,train_num_sample:115,depth:1,left_tree:{split_feature:Temperature,split_value:32.0,gini_value:0.30176556910046515,train_num_sample:8,depth:2,left_tree:{leaf_value:1.0,train_num_sample:2,depth:3},right_tree:{split_feature:BUI,split_value:11.7,gini_value:0.20183405052745376,train_num_sample:6,depth:3,left_tree:{leaf_value:0.0,train_num_sample:3,depth:4},right_tree:{leaf_value:1.0,train_num_sample:3,depth:4}}},right_tree:{leaf_value:1.0,train_num_sample:107,depth:2}}}","[7, 0.02, 0.02, 1, 2]",0.9629629629629629,0.9587542087542087,0.9629629629629629,0.9629629629629629,0.9591836734693877,"[[26  1]
 [ 1 21]]",4,5,0.9948717948717949
9,"{split_feature:ISI,split_value:2.5,gini_value:0.0047563766735565895,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,depth:1},right_tree:{split_feature:FFMC,split_value:81.8,gini_value:-0.03442809113815246,train_num_sample:115,depth:1,left_tree:{split_feature:Temperature,split_value:32.0,gini_value:0.17549451216899212,train_num_sample:8,depth:2,left_tree:{leaf_value:1.0,train_num_sample:2,depth:3},right_tree:{split_feature:BUI,split_value:11.7,gini_value:0.12028136374838,train_num_sample:6,depth:3,left_tree:{leaf_value:0.0,train_num_sample:3,depth:4},right_tree:{leaf_value:1.0,train_num_sample:3,depth:4}}},right_tree:{leaf_value:1.0,train_num_sample:107,depth:2}}}","[7, 0.1, 0.1, 1, 2]",0.9629629629629629,0.9587542087542087,0.9629629629629629,0.9629629629629629,0.9591836734693877,"[[26  1]
 [ 1 21]]",4,5,0.9948717948717949
