,describe_tree,can,f1_score1,roc_auc,recall,prec,acc,score_arr,depth,num_node,score_train
0,"{split_feature:ISI,split_value:2.5,gini_value:0.03959866220735791,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,depth:1},right_tree:{split_feature:FWI,split_value:3.4,gini_value:0.029813664596273298,train_num_sample:115,depth:1,left_tree:{split_feature: Ws,split_value:14.0,gini_value:0.21428571428571427,train_num_sample:7,depth:2,left_tree:{leaf_value:1.0,train_num_sample:4,depth:3},right_tree:{leaf_value:0.0,train_num_sample:3,depth:3}},right_tree:{leaf_value:1.0,train_num_sample:108,depth:2}}}","[0.1, 1, 2]",0.8979591836734693,0.9074074074074074,0.8148148148148148,1.0,0.8979591836734694,"[[22  5]
 [ 0 22]]",3,4,0.9948717948717949
1,"{split_feature:ISI,split_value:2.5,gini_value:0.03959866220735791,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,depth:1},right_tree:{split_feature:FWI,split_value:3.4,gini_value:0.029813664596273298,train_num_sample:115,depth:1,left_tree:{split_feature: Ws,split_value:14.0,gini_value:0.21428571428571427,train_num_sample:7,depth:2,left_tree:{leaf_value:1.0,train_num_sample:4,depth:3},right_tree:{leaf_value:0.0,train_num_sample:3,depth:3}},right_tree:{leaf_value:1.0,train_num_sample:108,depth:2}}}","[0.2, 1, 2]",0.8979591836734693,0.9074074074074074,0.8148148148148148,1.0,0.8979591836734694,"[[22  5]
 [ 0 22]]",3,4,0.9948717948717949
2,"{split_feature:ISI,split_value:2.5,gini_value:0.03959866220735791,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,depth:1},right_tree:{split_feature:FWI,split_value:3.4,gini_value:0.029813664596273298,train_num_sample:115,depth:1,left_tree:{split_feature:Temperature,split_value:30.0,gini_value:0.22857142857142845,train_num_sample:7,depth:2,left_tree:{leaf_value:1.0,train_num_sample:2,depth:3},right_tree:{leaf_value:0.0,train_num_sample:5,depth:3}},right_tree:{leaf_value:1.0,train_num_sample:108,depth:2}}}","[0.3, 1, 2]",0.9019607843137256,0.9031986531986532,0.8518518518518519,0.9583333333333334,0.8979591836734694,"[[23  4]
 [ 1 21]]",3,4,0.9948717948717949
3,"{split_feature:ISI,split_value:2.5,gini_value:0.03959866220735791,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,depth:1},right_tree:{split_feature:FWI,split_value:3.4,gini_value:0.029813664596273298,train_num_sample:115,depth:1,left_tree:{split_feature:Temperature,split_value:30.0,gini_value:0.22857142857142845,train_num_sample:7,depth:2,left_tree:{leaf_value:1.0,train_num_sample:2,depth:3},right_tree:{leaf_value:0.0,train_num_sample:5,depth:3}},right_tree:{leaf_value:1.0,train_num_sample:108,depth:2}}}","[0.5, 1, 2]",0.9019607843137256,0.9031986531986532,0.8518518518518519,0.9583333333333334,0.8979591836734694,"[[23  4]
 [ 1 21]]",3,4,0.9948717948717949
4,"{split_feature:ISI,split_value:2.5,gini_value:0.03959866220735791,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,depth:1},right_tree:{split_feature:FWI,split_value:3.4,gini_value:0.029813664596273298,train_num_sample:115,depth:1,left_tree:{split_feature:Temperature,split_value:30.0,gini_value:0.22857142857142845,train_num_sample:7,depth:2,left_tree:{leaf_value:1.0,train_num_sample:2,depth:3},right_tree:{leaf_value:0.0,train_num_sample:5,depth:3}},right_tree:{leaf_value:1.0,train_num_sample:108,depth:2}}}","[0.7, 1, 2]",0.9019607843137256,0.9031986531986532,0.8518518518518519,0.9583333333333334,0.8979591836734694,"[[23  4]
 [ 1 21]]",3,4,0.9948717948717949
5,"{split_feature:FWI,split_value:4.2,gini_value:0.10169156165361097,train_num_sample:195,depth:0,left_tree:{split_feature:FFMC,split_value:80.2,gini_value:0.08078990901571541,train_num_sample:93,depth:1,left_tree:{leaf_value:0.0,train_num_sample:80,depth:2},right_tree:{split_feature:ISI,split_value:2.6,gini_value:0.25213675213675213,train_num_sample:13,depth:2,left_tree:{leaf_value:0.0,train_num_sample:4,depth:3},right_tree:{leaf_value:1.0,train_num_sample:9,depth:3}}},right_tree:{leaf_value:1.0,train_num_sample:102,depth:1}}","[1.0, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[27  0]
 [ 0 22]]",3,4,0.9794871794871794
6,"{split_feature:ISI,split_value:2.5,gini_value:0.04905239687848379,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,depth:1},right_tree:{split_feature:FFMC,split_value:80.1,gini_value:0.03416149068322987,train_num_sample:115,depth:1,left_tree:{leaf_value:0.0,train_num_sample:3,depth:2},right_tree:{split_feature:ISI,split_value:3.0,gini_value:0.026785714285714284,train_num_sample:112,depth:2,left_tree:{leaf_value:1.0,train_num_sample:8,depth:3},right_tree:{leaf_value:1.0,train_num_sample:104,depth:3}}}}","[0.1, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[28  0]
 [ 0 21]]",3,4,0.9897435897435898
7,"{split_feature:ISI,split_value:2.5,gini_value:0.04905239687848379,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,depth:1},right_tree:{split_feature:FFMC,split_value:80.1,gini_value:0.03416149068322987,train_num_sample:115,depth:1,left_tree:{leaf_value:0.0,train_num_sample:3,depth:2},right_tree:{split_feature:ISI,split_value:3.0,gini_value:0.026785714285714284,train_num_sample:112,depth:2,left_tree:{leaf_value:1.0,train_num_sample:8,depth:3},right_tree:{leaf_value:1.0,train_num_sample:104,depth:3}}}}","[0.2, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[28  0]
 [ 0 21]]",3,4,0.9897435897435898
8,"{split_feature:ISI,split_value:2.5,gini_value:0.04905239687848379,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,depth:1},right_tree:{split_feature:FFMC,split_value:80.1,gini_value:0.03416149068322987,train_num_sample:115,depth:1,left_tree:{leaf_value:0.0,train_num_sample:3,depth:2},right_tree:{split_feature:ISI,split_value:3.0,gini_value:0.026785714285714284,train_num_sample:112,depth:2,left_tree:{leaf_value:1.0,train_num_sample:8,depth:3},right_tree:{leaf_value:1.0,train_num_sample:104,depth:3}}}}","[0.3, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[28  0]
 [ 0 21]]",3,4,0.9897435897435898
9,"{split_feature:ISI,split_value:2.5,gini_value:0.04905239687848379,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,depth:1},right_tree:{split_feature:FFMC,split_value:80.1,gini_value:0.03416149068322987,train_num_sample:115,depth:1,left_tree:{leaf_value:0.0,train_num_sample:3,depth:2},right_tree:{split_feature:ISI,split_value:3.0,gini_value:0.026785714285714284,train_num_sample:112,depth:2,left_tree:{leaf_value:1.0,train_num_sample:8,depth:3},right_tree:{leaf_value:1.0,train_num_sample:104,depth:3}}}}","[0.5, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[28  0]
 [ 0 21]]",3,4,0.9897435897435898
