,f1_score1,f1_score2,f1_score,roc_auc,recall,prec,acc,score_arr,depth,num_node,can
0,0.8875471698113209,0.8858735492804396,0.8720808286646378,0.8845173210614916,0.8552189296771339,0.8897533373799797,0.8875471698113209,"[[406.4, 68.8], [50.4, 534.4]]",14.2,102.8,"[1, 1, 2]"
1,0.8864150943396225,0.8846893564936813,0.8706473899683618,0.8834126573225559,0.8543777089783282,0.8879102853346978,0.8864150943396227,"[[406.0, 69.2], [51.2, 533.6]]",14.4,110.2,"[1, 1, 2]"
2,0.8871698113207547,0.8853702832473846,0.8710836772224294,0.883705109614881,0.8501716054842989,0.8934373117435342,0.8871698113207547,"[[404.0, 71.2], [48.4, 536.4]]",15.4,126.0,"[2, 1, 2]"
3,0.8852830188679246,0.8838147074286977,0.8708984512083386,0.8832599604240048,0.8636408668730651,0.8789277195346351,0.8852830188679246,"[[410.4, 64.8], [56.8, 528.0]]",14.8,150.2,"[2, 1, 2]"
4,0.8854716981132075,0.88379901510057,0.869975227065862,0.8826727408098544,0.8556346749226005,0.8853897533910373,0.8854716981132075,"[[406.6, 68.6], [52.8, 532.0]]",15.2,153.2,"[3, 1, 2]"
5,0.8860377358490565,0.8842625761389377,0.8700733316425964,0.8828731325151654,0.8522706766917292,0.8893679599322655,0.8860377358490565,"[[405.0, 70.2], [50.6, 534.2]]",15.4,170.2,"[3, 1, 2]"
6,0.8816981132075472,0.8802008704273236,0.8669984630629834,0.8798055090669916,0.8615294117647059,0.8733576002653448,0.8816981132075472,"[[409.4, 65.8], [59.6, 525.2]]",16.2,170.4,"[5, 1, 2]"
7,0.8850943396226416,0.8836960432325455,0.8709592053442993,0.8832431173752477,0.8653241928350287,0.8767418048233008,0.8850943396226414,"[[411.2, 64.0], [57.8, 527.0]]",16.8,186.2,"[5, 1, 2]"
8,0.879622641509434,0.878102125706565,0.8646620285361057,0.8776548286406424,0.8585908889871737,0.8715429058099012,0.879622641509434,"[[408.0, 67.2], [60.4, 524.4]]",15.6,181.8,"[7, 1, 2]"
9,0.8781132075471698,0.8767512362278114,0.8640192569638823,0.8767997221923173,0.8640619195046438,0.8648019670801578,0.8781132075471698,"[[410.6, 64.6], [64.6, 520.2]]",16.0,208.2,"[7, 1, 2]"
10,0.8845283018867924,0.882987529315385,0.8698021105423409,0.8823722524300794,0.8615311808934101,0.8793319262455259,0.8845283018867924,"[[409.4, 65.8], [56.6, 528.2]]",16.4,185.4,"[10, 1, 2]"
11,0.8822641509433963,0.8806866273395558,0.8671499199933667,0.8799729295189875,0.857752321981424,0.8775943397699303,0.8822641509433963,"[[407.6, 67.6], [57.2, 527.6]]",16.2,216.4,"[10, 1, 2]"
