,f1_score1,f1_score2,f1_score,roc_auc,recall,prec,acc,score_arr,depth,num_node,can
0,0.7,0.4117647058823529,0.8235294117647058,0.5,1.0,0.7,0.7,"[[140.0, 0.0], [60.0, 0.0]]",1.2,2.2,"[1, 0.05, 0.05, 1, 2]"
1,0.736,0.6618241005438458,0.8200471017176826,0.6533333333333333,0.8600000000000001,0.7839261656970242,0.736,"[[120.4, 19.6], [33.2, 26.8]]",12.2,39.2,"[1, 0.01, 0.01, 1, 2]"
2,0.7,0.4117647058823529,0.8235294117647058,0.5,1.0,0.7,0.7,"[[140.0, 0.0], [60.0, 0.0]]",0.4,1.4,"[2, 0.05, 0.05, 1, 2]"
3,0.732,0.5965968616162878,0.8276043156843281,0.6076190476190476,0.9185714285714285,0.7564743182930129,0.732,"[[128.6, 11.4], [42.2, 17.8]]",10.4,23.2,"[2, 0.01, 0.01, 1, 2]"
4,0.7,0.4117647058823529,0.8235294117647058,0.5,1.0,0.7,0.7,"[[140.0, 0.0], [60.0, 0.0]]",1.0,2.0,"[3, 0.05, 0.05, 1, 2]"
5,0.733,0.6246779656882678,0.8237296661042247,0.6264285714285714,0.8928571428571429,0.7675544593084915,0.733,"[[125.0, 15.0], [38.4, 21.6]]",9.0,21.4,"[3, 0.01, 0.01, 1, 2]"
6,0.7,0.4117647058823529,0.8235294117647058,0.5,1.0,0.7,0.7,"[[140.0, 0.0], [60.0, 0.0]]",3.0,4.0,"[5, 0.05, 0.05, 1, 2]"
7,0.722,0.6114193610203948,0.8159424477760944,0.6166666666666666,0.8800000000000001,0.7642955121206857,0.722,"[[123.2, 16.8], [38.8, 21.2]]",9.0,18.2,"[5, 0.01, 0.01, 1, 2]"
8,0.7049999999999998,0.4283784696427365,0.8259877085162423,0.5083333333333334,1.0,0.7035897435897436,0.7049999999999998,"[[140.0, 0.0], [59.0, 1.0]]",2.4,3.8,"[7, 0.05, 0.05, 1, 2]"
9,0.712,0.5964325345967455,0.8056981362870029,0.6085714285714285,0.8671428571428571,0.7612811941154078,0.712,"[[121.4, 18.6], [39.0, 21.0]]",6.4,13.4,"[7, 0.01, 0.01, 1, 2]"
10,0.7150000000000001,0.48246397606306957,0.8289484386818369,0.5345238095238095,0.9857142857142858,0.7155932345623068,0.7150000000000001,"[[138.0, 2.0], [55.0, 5.0]]",3.0,5.8,"[10, 0.05, 0.05, 1, 2]"
11,0.737,0.6139277828311551,0.8296867431421852,0.6188095238095238,0.9142857142857143,0.7622710437633067,0.737,"[[128.0, 12.0], [40.6, 19.4]]",6.4,13.6,"[10, 0.01, 0.01, 1, 2]"
