,describe_tree,can,f1_score1,roc_auc,recall,prec,acc,score_arr,depth,num_node,score_train
0,"{split_feature:attribute_11,split_value:0.16766666666666669,gini_value:0.3491323125545109,train_num_sample:166,depth:0,left_tree:{split_feature:attribute_45,split_value:0.1586,gini_value:0.17666049470635714,train_num_sample:59,depth:1,left_tree:{leaf_value:1.0,train_num_sample:42,depth:2},right_tree:{split_feature:attribute_14,split_value:0.2261,gini_value:0.18823529411764697,train_num_sample:17,depth:2,left_tree:{leaf_value:1.0,train_num_sample:10,depth:3},right_tree:{leaf_value:0.0,train_num_sample:7,depth:3}}},right_tree:{split_feature:attribute_16,split_value:0.675709090909091,gini_value:0.2767751638199592,train_num_sample:107,depth:1,left_tree:{split_feature:attribute_9,split_value:0.0955,gini_value:0.20146290491118085,train_num_sample:87,depth:2,left_tree:{split_feature:attribute_22,split_value:0.5991,gini_value:0.15999999999999992,train_num_sample:10,depth:3,left_tree:{leaf_value:1.0,train_num_sample:5,depth:4},right_tree:{leaf_value:0.0,train_num_sample:5,depth:4}},right_tree:{split_feature:attribute_26,split_value:0.2736,gini_value:0.09828009828009827,train_num_sample:77,depth:3,left_tree:{leaf_value:1.0,train_num_sample:3,depth:4},right_tree:{split_feature:attribute_20,split_value:0.9399,gini_value:0.052552552552552624,train_num_sample:74,depth:4,left_tree:{split_feature:attribute_12,split_value:0.0658,gini_value:0.0273865414710485,train_num_sample:72,depth:5,left_tree:{leaf_value:1.0,train_num_sample:1,depth:6},right_tree:{split_feature:attribute_23,split_value:0.9739,gini_value:0.014084507042253521,train_num_sample:71,depth:6,left_tree:{leaf_value:0.0,train_num_sample:69,depth:7},right_tree:{leaf_value:1.0,train_num_sample:2,depth:7}}},right_tree:{leaf_value:1.0,train_num_sample:2,depth:5}}}},right_tree:{split_feature:attribute_55,split_value:0.018,gini_value:0.09375,train_num_sample:20,depth:2,left_tree:{leaf_value:1.0,train_num_sample:16,depth:3},right_tree:{leaf_value:0.0,train_num_sample:4,depth:3}}}}","[1, 1]",0.5789473684210527,0.615909090909091,0.55,0.6111111111111112,0.6190476190476191,"[[11  9]
 [ 7 15]]",6,12,0.963855421686747
1,"{split_feature:attribute_11,split_value:0.16766666666666669,gini_value:0.3491323125545109,train_num_sample:166,depth:0,left_tree:{split_feature:attribute_45,split_value:0.1586,gini_value:0.17666049470635714,train_num_sample:59,depth:1,left_tree:{leaf_value:1.0,train_num_sample:42,depth:2},right_tree:{split_feature:attribute_14,split_value:0.2261,gini_value:0.18823529411764697,train_num_sample:17,depth:2,left_tree:{leaf_value:1.0,train_num_sample:10,depth:3},right_tree:{leaf_value:0.0,train_num_sample:7,depth:3}}},right_tree:{split_feature:attribute_16,split_value:0.675709090909091,gini_value:0.2767751638199592,train_num_sample:107,depth:1,left_tree:{split_feature:attribute_9,split_value:0.0955,gini_value:0.20146290491118085,train_num_sample:87,depth:2,left_tree:{split_feature:attribute_22,split_value:0.5991,gini_value:0.15999999999999992,train_num_sample:10,depth:3,left_tree:{leaf_value:1.0,train_num_sample:5,depth:4},right_tree:{leaf_value:0.0,train_num_sample:5,depth:4}},right_tree:{split_feature:attribute_26,split_value:0.2736,gini_value:0.09828009828009827,train_num_sample:77,depth:3,left_tree:{leaf_value:1.0,train_num_sample:3,depth:4},right_tree:{split_feature:attribute_20,split_value:0.9399,gini_value:0.052552552552552624,train_num_sample:74,depth:4,left_tree:{leaf_value:0.0,train_num_sample:72,depth:5},right_tree:{leaf_value:1.0,train_num_sample:2,depth:5}}}},right_tree:{split_feature:attribute_55,split_value:0.018,gini_value:0.09375,train_num_sample:20,depth:2,left_tree:{leaf_value:1.0,train_num_sample:16,depth:3},right_tree:{leaf_value:0.0,train_num_sample:4,depth:3}}}}","[1, 2]",0.5945945945945946,0.6386363636363637,0.55,0.6470588235294118,0.6428571428571429,"[[11  9]
 [ 6 16]]",5,10,0.9578313253012049
2,"{split_feature:attribute_11,split_value:0.19699999999999993,gini_value:0.35300758259129933,train_num_sample:166,depth:0,left_tree:{split_feature:attribute_4,split_value:0.0505,gini_value:0.23904998619165987,train_num_sample:71,depth:1,left_tree:{split_feature:attribute_47,split_value:0.2655,gini_value:0.10130718954248355,train_num_sample:51,depth:2,left_tree:{split_feature:attribute_3,split_value:0.0015,gini_value:0.040780141843971676,train_num_sample:48,depth:3,left_tree:{leaf_value:0.0,train_num_sample:1,depth:4},right_tree:{leaf_value:1.0,train_num_sample:47,depth:4}},right_tree:{leaf_value:0.0,train_num_sample:3,depth:3}},right_tree:{split_feature:attribute_45,split_value:0.1556,gini_value:0.2181818181818182,train_num_sample:20,depth:2,left_tree:{leaf_value:1.0,train_num_sample:11,depth:3},right_tree:{leaf_value:0.0,train_num_sample:9,depth:3}}},right_tree:{split_feature:attribute_52,split_value:0.0038,gini_value:0.29029239766081866,train_num_sample:95,depth:1,left_tree:{leaf_value:1.0,train_num_sample:5,depth:2},right_tree:{split_feature:attribute_6,split_value:0.2431,gini_value:0.2452196382428941,train_num_sample:90,depth:2,left_tree:{split_feature:attribute_37,split_value:0.4773,gini_value:0.19789108767875202,train_num_sample:86,depth:3,left_tree:{split_feature:attribute_5,split_value:0.0067,gini_value:0.06144393241167424,train_num_sample:63,depth:4,left_tree:{leaf_value:1.0,train_num_sample:1,depth:5},right_tree:{split_feature:attribute_15,split_value:0.9137,gini_value:0.03172924378635643,train_num_sample:62,depth:5,left_tree:{leaf_value:0.0,train_num_sample:61,depth:6},right_tree:{leaf_value:1.0,train_num_sample:1,depth:6}}},right_tree:{split_feature:attribute_45,split_value:0.2611,gini_value:0.07905138339920953,train_num_sample:23,depth:4,left_tree:{leaf_value:1.0,train_num_sample:11,depth:5},right_tree:{leaf_value:0.0,train_num_sample:12,depth:5}}},right_tree:{leaf_value:1.0,train_num_sample:4,depth:3}}}}","[1, 1]",0.75,0.7613636363636364,0.75,0.75,0.7619047619047619,"[[15  5]
 [ 5 17]]",6,12,0.9578313253012049
3,"{split_feature:attribute_11,split_value:0.19699999999999993,gini_value:0.35300758259129933,train_num_sample:166,depth:0,left_tree:{split_feature:attribute_4,split_value:0.0505,gini_value:0.23904998619165987,train_num_sample:71,depth:1,left_tree:{split_feature:attribute_47,split_value:0.2655,gini_value:0.10130718954248355,train_num_sample:51,depth:2,left_tree:{leaf_value:1.0,train_num_sample:48,depth:3},right_tree:{leaf_value:0.0,train_num_sample:3,depth:3}},right_tree:{split_feature:attribute_45,split_value:0.1556,gini_value:0.2181818181818182,train_num_sample:20,depth:2,left_tree:{leaf_value:1.0,train_num_sample:11,depth:3},right_tree:{leaf_value:0.0,train_num_sample:9,depth:3}}},right_tree:{split_feature:attribute_52,split_value:0.0038,gini_value:0.29029239766081866,train_num_sample:95,depth:1,left_tree:{leaf_value:1.0,train_num_sample:5,depth:2},right_tree:{split_feature:attribute_6,split_value:0.2431,gini_value:0.2452196382428941,train_num_sample:90,depth:2,left_tree:{split_feature:attribute_37,split_value:0.4773,gini_value:0.19789108767875202,train_num_sample:86,depth:3,left_tree:{leaf_value:0.0,train_num_sample:63,depth:4},right_tree:{split_feature:attribute_45,split_value:0.2611,gini_value:0.07905138339920953,train_num_sample:23,depth:4,left_tree:{leaf_value:1.0,train_num_sample:11,depth:5},right_tree:{leaf_value:0.0,train_num_sample:12,depth:5}}},right_tree:{leaf_value:1.0,train_num_sample:4,depth:3}}}}","[1, 2]",0.75,0.7613636363636364,0.75,0.75,0.7619047619047619,"[[15  5]
 [ 5 17]]",5,9,0.9397590361445783
4,"{split_feature:attribute_12,split_value:0.22503333333333334,gini_value:0.35904802536006863,train_num_sample:166,depth:0,left_tree:{split_feature:attribute_20,split_value:0.5224,gini_value:0.21928166351606798,train_num_sample:69,depth:1,left_tree:{split_feature:attribute_52,split_value:0.0346,gini_value:0.042512077294686035,train_num_sample:46,depth:2,left_tree:{leaf_value:1.0,train_num_sample:45,depth:3},right_tree:{leaf_value:0.0,train_num_sample:1,depth:3}},right_tree:{split_feature:attribute_42,split_value:0.0839,gini_value:0.21195652173913043,train_num_sample:23,depth:2,left_tree:{leaf_value:1.0,train_num_sample:7,depth:3},right_tree:{split_feature:attribute_27,split_value:0.9547,gini_value:0.11607142857142855,train_num_sample:16,depth:3,left_tree:{leaf_value:0.0,train_num_sample:14,depth:4},right_tree:{leaf_value:1.0,train_num_sample:2,depth:4}}}},right_tree:{split_feature:attribute_27,split_value:0.8345,gini_value:0.2935029611756963,train_num_sample:97,depth:1,left_tree:{split_feature:attribute_58,split_value:0.0067,gini_value:0.28419047619047616,train_num_sample:50,depth:2,left_tree:{leaf_value:1.0,train_num_sample:15,depth:3},right_tree:{split_feature:attribute_59,split_value:0.0069999999999999,gini_value:0.17485714285714285,train_num_sample:35,depth:3,left_tree:{leaf_value:1.0,train_num_sample:10,depth:4},right_tree:{leaf_value:0.0,train_num_sample:25,depth:4}}},right_tree:{split_feature:attribute_34,split_value:0.7040000000000001,gini_value:0.04162812210915821,train_num_sample:47,depth:2,left_tree:{leaf_value:0.0,train_num_sample:46,depth:3},right_tree:{leaf_value:1.0,train_num_sample:1,depth:3}}}}","[1, 1]",0.631578947368421,0.6636155606407322,0.631578947368421,0.631578947368421,0.6666666666666666,"[[12  7]
 [ 7 16]]",4,10,0.9518072289156626
5,"{split_feature:attribute_12,split_value:0.22503333333333334,gini_value:0.35904802536006863,train_num_sample:166,depth:0,left_tree:{split_feature:attribute_20,split_value:0.5224,gini_value:0.21928166351606798,train_num_sample:69,depth:1,left_tree:{leaf_value:1.0,train_num_sample:46,depth:2},right_tree:{split_feature:attribute_42,split_value:0.0839,gini_value:0.21195652173913043,train_num_sample:23,depth:2,left_tree:{leaf_value:1.0,train_num_sample:7,depth:3},right_tree:{split_feature:attribute_27,split_value:0.9547,gini_value:0.11607142857142855,train_num_sample:16,depth:3,left_tree:{leaf_value:0.0,train_num_sample:14,depth:4},right_tree:{leaf_value:1.0,train_num_sample:2,depth:4}}}},right_tree:{split_feature:attribute_27,split_value:0.8345,gini_value:0.2935029611756963,train_num_sample:97,depth:1,left_tree:{split_feature:attribute_58,split_value:0.0067,gini_value:0.28419047619047616,train_num_sample:50,depth:2,left_tree:{leaf_value:1.0,train_num_sample:15,depth:3},right_tree:{split_feature:attribute_59,split_value:0.0069999999999999,gini_value:0.17485714285714285,train_num_sample:35,depth:3,left_tree:{leaf_value:1.0,train_num_sample:10,depth:4},right_tree:{leaf_value:0.0,train_num_sample:25,depth:4}}},right_tree:{leaf_value:0.0,train_num_sample:47,depth:2}}}","[1, 2]",0.631578947368421,0.6636155606407322,0.631578947368421,0.631578947368421,0.6666666666666666,"[[12  7]
 [ 7 16]]",4,8,0.9397590361445783
6,"{split_feature:attribute_11,split_value:0.19780606060606057,gini_value:0.3704141013747153,train_num_sample:167,depth:0,left_tree:{split_feature:attribute_4,split_value:0.0505,gini_value:0.25183896903689346,train_num_sample:71,depth:1,left_tree:{split_feature:attribute_28,split_value:0.9578,gini_value:0.10256410256410245,train_num_sample:52,depth:2,left_tree:{split_feature:attribute_53,split_value:0.0014,gini_value:0.027777777777777776,train_num_sample:48,depth:3,left_tree:{leaf_value:0.0,train_num_sample:3,depth:4},right_tree:{leaf_value:1.0,train_num_sample:45,depth:4}},right_tree:{leaf_value:0.0,train_num_sample:4,depth:3}},right_tree:{split_feature:attribute_46,split_value:0.0779,gini_value:0.1804511278195489,train_num_sample:19,depth:2,left_tree:{leaf_value:1.0,train_num_sample:5,depth:3},right_tree:{split_feature:attribute_5,split_value:0.033,gini_value:0.09523809523809523,train_num_sample:14,depth:3,left_tree:{leaf_value:1.0,train_num_sample:3,depth:4},right_tree:{leaf_value:0.0,train_num_sample:11,depth:4}}}},right_tree:{split_feature:attribute_27,split_value:0.8145,gini_value:0.291575252303642,train_num_sample:96,depth:1,left_tree:{split_feature:attribute_52,split_value:0.0067,gini_value:0.3602058319039452,train_num_sample:53,depth:2,left_tree:{leaf_value:1.0,train_num_sample:9,depth:3},right_tree:{split_feature:attribute_21,split_value:0.5605,gini_value:0.2874458874458874,train_num_sample:44,depth:3,left_tree:{leaf_value:1.0,train_num_sample:14,depth:4},right_tree:{split_feature:attribute_58,split_value:0.002,gini_value:0.1238095238095238,train_num_sample:30,depth:4,left_tree:{leaf_value:1.0,train_num_sample:2,depth:5},right_tree:{split_feature:attribute_6,split_value:0.2062,gini_value:0.047619047619047616,train_num_sample:28,depth:5,left_tree:{leaf_value:0.0,train_num_sample:25,depth:6},right_tree:{leaf_value:1.0,train_num_sample:3,depth:6}}}}},right_tree:{leaf_value:0.0,train_num_sample:43,depth:2}}}","[1, 1]",0.7500000000000001,0.7583732057416268,0.7894736842105263,0.7142857142857143,0.7560975609756098,"[[15  4]
 [ 6 16]]",6,12,0.9461077844311377
7,"{split_feature:attribute_11,split_value:0.19780606060606057,gini_value:0.3704141013747153,train_num_sample:167,depth:0,left_tree:{split_feature:attribute_4,split_value:0.0505,gini_value:0.25183896903689346,train_num_sample:71,depth:1,left_tree:{split_feature:attribute_28,split_value:0.9578,gini_value:0.10256410256410245,train_num_sample:52,depth:2,left_tree:{split_feature:attribute_53,split_value:0.0014,gini_value:0.027777777777777776,train_num_sample:48,depth:3,left_tree:{leaf_value:0.0,train_num_sample:3,depth:4},right_tree:{leaf_value:1.0,train_num_sample:45,depth:4}},right_tree:{leaf_value:0.0,train_num_sample:4,depth:3}},right_tree:{split_feature:attribute_46,split_value:0.0779,gini_value:0.1804511278195489,train_num_sample:19,depth:2,left_tree:{leaf_value:1.0,train_num_sample:5,depth:3},right_tree:{split_feature:attribute_5,split_value:0.033,gini_value:0.09523809523809523,train_num_sample:14,depth:3,left_tree:{leaf_value:1.0,train_num_sample:3,depth:4},right_tree:{leaf_value:0.0,train_num_sample:11,depth:4}}}},right_tree:{split_feature:attribute_27,split_value:0.8145,gini_value:0.291575252303642,train_num_sample:96,depth:1,left_tree:{split_feature:attribute_52,split_value:0.0067,gini_value:0.3602058319039452,train_num_sample:53,depth:2,left_tree:{leaf_value:1.0,train_num_sample:9,depth:3},right_tree:{split_feature:attribute_21,split_value:0.5605,gini_value:0.2874458874458874,train_num_sample:44,depth:3,left_tree:{leaf_value:1.0,train_num_sample:14,depth:4},right_tree:{split_feature:attribute_58,split_value:0.002,gini_value:0.1238095238095238,train_num_sample:30,depth:4,left_tree:{leaf_value:1.0,train_num_sample:2,depth:5},right_tree:{split_feature:attribute_6,split_value:0.2062,gini_value:0.047619047619047616,train_num_sample:28,depth:5,left_tree:{leaf_value:0.0,train_num_sample:25,depth:6},right_tree:{leaf_value:1.0,train_num_sample:3,depth:6}}}}},right_tree:{leaf_value:0.0,train_num_sample:43,depth:2}}}","[1, 2]",0.7500000000000001,0.7583732057416268,0.7894736842105263,0.7142857142857143,0.7560975609756098,"[[15  4]
 [ 6 16]]",6,12,0.9461077844311377
8,"{split_feature:attribute_11,split_value:0.17842121212121215,gini_value:0.3626551508633219,train_num_sample:167,depth:0,left_tree:{split_feature:attribute_16,split_value:0.2978,gini_value:0.20983563096500538,train_num_sample:64,depth:1,left_tree:{leaf_value:1.0,train_num_sample:41,depth:2},right_tree:{split_feature:attribute_45,split_value:0.1556,gini_value:0.2049689440993789,train_num_sample:23,depth:2,left_tree:{split_feature:attribute_43,split_value:0.2709,gini_value:0.13095238095238101,train_num_sample:14,depth:3,left_tree:{leaf_value:1.0,train_num_sample:12,depth:4},right_tree:{leaf_value:0.0,train_num_sample:2,depth:4}},right_tree:{leaf_value:0.0,train_num_sample:9,depth:3}}},right_tree:{split_feature:attribute_27,split_value:0.8145,gini_value:0.30590639478265996,train_num_sample:103,depth:1,left_tree:{split_feature:attribute_51,split_value:0.0154,gini_value:0.3458791208791209,train_num_sample:56,depth:2,left_tree:{split_feature:attribute_7,split_value:0.1285,gini_value:0.29107142857142865,train_num_sample:30,depth:3,left_tree:{split_feature:attribute_45,split_value:0.1173,gini_value:0.21428571428571427,train_num_sample:14,depth:4,left_tree:{leaf_value:0.0,train_num_sample:6,depth:5},right_tree:{leaf_value:1.0,train_num_sample:8,depth:5}},right_tree:{leaf_value:1.0,train_num_sample:16,depth:4}},right_tree:{split_feature:attribute_39,split_value:0.1252,gini_value:0.14102564102564114,train_num_sample:26,depth:3,left_tree:{leaf_value:1.0,train_num_sample:2,depth:4},right_tree:{split_feature:attribute_18,split_value:0.1299,gini_value:0.07971014492753616,train_num_sample:24,depth:4,left_tree:{leaf_value:1.0,train_num_sample:1,depth:5},right_tree:{leaf_value:0.0,train_num_sample:23,depth:5}}}},right_tree:{split_feature:attribute_9,split_value:0.074,gini_value:0.02836879432624113,train_num_sample:47,depth:2,left_tree:{leaf_value:1.0,train_num_sample:3,depth:3},right_tree:{leaf_value:0.0,train_num_sample:44,depth:3}}}}","[1, 1]",0.631578947368421,0.6566985645933014,0.631578947368421,0.631578947368421,0.6585365853658537,"[[12  7]
 [ 7 15]]",5,12,0.9580838323353293
9,"{split_feature:attribute_11,split_value:0.17842121212121215,gini_value:0.3626551508633219,train_num_sample:167,depth:0,left_tree:{split_feature:attribute_16,split_value:0.2978,gini_value:0.20983563096500538,train_num_sample:64,depth:1,left_tree:{leaf_value:1.0,train_num_sample:41,depth:2},right_tree:{split_feature:attribute_45,split_value:0.1556,gini_value:0.2049689440993789,train_num_sample:23,depth:2,left_tree:{split_feature:attribute_43,split_value:0.2709,gini_value:0.13095238095238101,train_num_sample:14,depth:3,left_tree:{leaf_value:1.0,train_num_sample:12,depth:4},right_tree:{leaf_value:0.0,train_num_sample:2,depth:4}},right_tree:{leaf_value:0.0,train_num_sample:9,depth:3}}},right_tree:{split_feature:attribute_27,split_value:0.8145,gini_value:0.30590639478265996,train_num_sample:103,depth:1,left_tree:{split_feature:attribute_51,split_value:0.0154,gini_value:0.3458791208791209,train_num_sample:56,depth:2,left_tree:{split_feature:attribute_7,split_value:0.1285,gini_value:0.29107142857142865,train_num_sample:30,depth:3,left_tree:{split_feature:attribute_45,split_value:0.1173,gini_value:0.21428571428571427,train_num_sample:14,depth:4,left_tree:{leaf_value:0.0,train_num_sample:6,depth:5},right_tree:{leaf_value:1.0,train_num_sample:8,depth:5}},right_tree:{leaf_value:1.0,train_num_sample:16,depth:4}},right_tree:{split_feature:attribute_39,split_value:0.1252,gini_value:0.14102564102564114,train_num_sample:26,depth:3,left_tree:{leaf_value:1.0,train_num_sample:2,depth:4},right_tree:{leaf_value:0.0,train_num_sample:24,depth:4}}},right_tree:{split_feature:attribute_9,split_value:0.074,gini_value:0.02836879432624113,train_num_sample:47,depth:2,left_tree:{leaf_value:1.0,train_num_sample:3,depth:3},right_tree:{leaf_value:0.0,train_num_sample:44,depth:3}}}}","[1, 2]",0.6486486486486486,0.6794258373205742,0.631578947368421,0.6666666666666666,0.6829268292682927,"[[12  7]
 [ 6 16]]",5,11,0.9520958083832335
