,lda_class_all,var_class_all,dist_class_all,can
0,"{2: [0.5902950020374551, 0.4838131733346805, 0.1345374635453657], 1: [0.33380803764615485, 1.0758929011827922], 3: [0.24461875756541215, 0.6186156137507498], 4: [0.6242468780613266], 0: [0.500609097697627]}","{2: [0.5605711533471428, 0.9780335748912447, 0.5132753049632338], 1: [0.5890108194800727, 0.8838490276995433], 3: [0.4867422207531716, 0.8108334339661584], 4: [0.879210852022054], 0: [0.9154895892852274]}","{0: [0.005914374656077648], 1: [0.027112776819261285, 0.009929946321643799], 2: [0.08683198910103478, 0.05569042441401896, 0.00800088751500478, 0.040185258426487416], 3: [0.05796475741343385, 0, 0.060245219640145745, 0.01590188930055567, 0.14774392500017422, 0], 4: [0, 0.12584482911954048, 0, 0.020512403324558], 5: [0.02934272708582808, 0]}","[1, 1, 2]"
1,"{3: [0.07881272331728179, 0.24461875756541215, 0.6135892723134878], 2: [0.5902950020374551, 0.47944785468075113, 0.09652383436082769], 1: [0.33380803764615485, 1.0592360393701183], 4: [0.5891102676441017], 0: [0.500609097697627]}","{3: [0.5775971275771593, 0.4867422207531716, 0.7939571769337624], 2: [0.5605711533471428, 0.9795849348910783, 0.46570833613759094], 1: [0.5890108194800727, 0.9099631580556171], 4: [0.8831155471271728], 0: [0.9154895892852274]}","{0: [0.005914374656077648], 1: [0.027112776819261285, 0.009929946321643799], 2: [0.08683198910103478, 0.05569042441401896, 0.008234215642834589, 0.03295345532475912], 3: [0.05796475741343385, 0, 0.060245219640145745, 0.016761098670275254, 0.14774392500017422, 0], 4: [0.352774853483472, 0, 0, 0.12584482911954048, 0.3136717932528767, 0.02231721085941942], 5: [0.03392218646775095, 0]}","[2, 1, 2]"
2,"{3: [0.04647032105205933, 0.1441177153164537, 0.6135892723134878], 2: [0.5902950020374551, 0.47944785468075113, 0.09652383436082769], 1: [0.33380803764615485, 1.0592360393701183], 5: [0.04220109989947012], 4: [0.33906993990229595], 0: [0.500609097697627]}","{3: [0.5129740279727041, 0.49245714186725303, 0.7939571769337624], 2: [0.5605711533471428, 0.9795849348910783, 0.46570833613759094], 1: [0.5890108194800727, 0.9099631580556171], 5: [0.9431402048390102], 4: [0.6154196227610388], 0: [0.9154895892852274]}","{0: [0.005914374656077648], 1: [0.027112776819261285, 0.009929946321643799], 2: [0.08683198910103478, 0.05569042441401896, 0.008234215642834589, 0.03295345532475912], 3: [0.05796475741343385, 0, 0.060245219640145745, 0.016761098670275254, 0.14774392500017422, 0], 4: [0.528872015911122, 0, 0.18212448161013975, 0, 0.3136717932528767, 0.02231721085941942], 5: [0.09951671495042384, 0.04474530900384388], 6: [1.0, 0]}","[3, 1, 2]"
3,"{2: [0.7542005060750294, 0.38798339608232646, 0.6395063101827615, 0.1930831597044332], 3: [0.10303203397694766, 0.7423503560759582], 1: [0.6536164088135443, 0.9204391585343137], 5: [0.04334286350502719], 4: [0.34308168534325656], 0: [0.4310377790473448]}","{2: [0.6571866177583015, 0.6147682593302134, 0.7361480728230279, 0.5091568368724083], 3: [0.5548608358007209, 0.8620393626118439], 1: [0.9244933638933669, 0.9172684898730533], 5: [0.915866174008063], 4: [0.7302705023207468], 0: [0.9067605913217341]}","{0: [0.005914374656077648], 1: [0.017613412810799513, 0.014027359170499987], 2: [0.027738842849564804, 0.04260678880972123, 0.015608001376771988, 0.029009394280389178], 3: [0.024079335605676693, 0.4644165311360761, 0.08716906779126286, 0.10317195481633848, 0.3269034958789192, 0.017824755024229182, 0.09666391894855425, 0.14552543947884863], 4: [0.38427170339866606, 0, 0.02107693310994149, 0.40312013075671843], 5: [1.0, 0.04493330788334214], 6: [0.572394791872198, 0]}","[5, 1, 2]"
4,"{2: [0.7542005060750294, 0.38798339608232646, 0.6323373162306046, 0.1930831597044332], 3: [0.10303203397694766, 0.6592679221597109, 0.07922527509734154], 1: [0.6536164088135443, 0.9204391585343137], 5: [0.06866352502101973], 4: [0.2816270401048864], 0: [0.4310377790473448]}","{2: [0.6571866177583015, 0.6147682593302134, 0.74919653454418, 0.5091568368724083], 3: [0.5548608358007209, 0.888443236821351, 0.8195951080723949], 1: [0.9244933638933669, 0.9172684898730533], 5: [0.9498791929693683], 4: [0.6826500900914979], 0: [0.9067605913217341]}","{0: [0.005914374656077648], 1: [0.017613412810799513, 0.014027359170499987], 2: [0.027738842849564804, 0.04260678880972123, 0.015608001376771988, 0.029009394280389178], 3: [0.024079335605676693, 0.4644165311360761, 0.08716906779126286, 0.10317195481633848, 0.14603840374958157, 0.01786665583439033, 0.09666391894855425, 0.14552543947884863], 4: [0.38427170339866606, 0, 0.5573184950365309, 0.02456147482863813, 1.0, 0], 5: [1.0, 0.059559330608681335], 6: [0, 0.49434856674303645]}","[7, 1, 2]"
5,"{3: [0.07883734284663889, 0.1087017851867366, 0.10303203397694766, 0.04923078481066365, 0.27020216681370335, 0.3088829918566084], 2: [0.3562242117021218, 0.38798339608232646, 0.3892234264132014, 0.24552949553013254], 1: [0.6446282840549987, 0.7782454860580069], 0: [0.4125861117270838]}","{3: [0.922665151910839, 0.44019040501826934, 0.5548608358007209, 0.9646732787695461, 0.5847136902067152, 0.5247476535585387], 2: [0.5478793404569956, 0.6147682593302134, 0.6564154495926151, 0.8031907283068594], 1: [0.9150395066835902, 0.7387121479547055], 0: [0.902229654791727]}","{0: [0.005914374656077648], 1: [0.01848761664850784, 0.014448176368924637], 2: [0.02814426802169082, 0.04260678880972123, 0.021837519281036964, 0.014524374784103667], 3: [0.0854452372926048, 0.04928294933351156, 0.08716906779126286, 0.10317195481633848, 0.23538235717259795, 0.03704193716214554, 0.06069251915206523, 0.07849155868114314], 4: [0, 1.0, 0, 0.2020576765411131, 0.38427170339866606, 0, 0.39240159573235933, 0, 0, 0.13068247626993015, 0, 0.13152463190761815]}","[10, 1, 2]"
6,"{2: [0.7265280145699251, 0.19948477680650878, 0.9615356389341966], 1: [1.2509771146630586, 0.8489104068460683], 4: [0.13166649602569866], 3: [0.4586826912666625], 0: [0.6864942081303343]}","{2: [0.6809053602084342, 0.6942335487398698, 0.9389685841755524], 1: [0.9768908345976464, 0.9885119809607683], 4: [0.4952976412321301], 3: [0.8072840178838097], 0: [0.9463857909060902]}","{0: [0.0069997066595414], 1: [0.019124515412484108, 0.008976966710258416], 2: [0.021177909870696454, 0.01432630257890411, 0, 0.010297664715851211], 3: [0.02220409633714512, 0.30931451905344803, 0.04257321978480825, 0, 0.009934410196456658, 0], 4: [0.017190005856213903, 0.04090290967699937], 5: [0.10628099227791801, 0]}","[1, 1, 2]"
7,"{3: [0.025152588296159132, 0.06388780394111084, 0.4899158261155227], 2: [0.8002946266837881, 0.8765231384932187], 1: [0.4751576250202066, 0.8489104068460683], 4: [0.21926708091982378], 0: [0.6864942081303343]}","{3: [0.9422361598376328, 0.4644328864719167, 0.8138391163727471], 2: [0.5905432253453732, 0.8993688114828755], 1: [0.7488067890442115, 0.9885119809607683], 4: [0.5034346787465931], 0: [0.9463857909060902]}","{0: [0.0069997066595414], 1: [0.019124515412484108, 0.008976966710258416], 2: [0.031020255948278574, 0.08018477854912447, 0, 0.010297664715851211], 3: [0.02669456912001069, 0.04192898993760979, 0.010453327945232587, 0.30559294828779177], 4: [1.0, 0, 0.2555141998752815, 0, 0.016988816569906712, 0.04213385497466395], 5: [0.0818980233815496, 0]}","[2, 1, 2]"
8,"{3: [0.044985615089447116, 0.06388780394111084, 0.35129552945520315, 0.11879005032539262], 2: [0.8002946266837881, 0.6016312141312935], 1: [0.4751576250202066, 0.78944153960988], 4: [0.216777631628633], 0: [0.6864942081303343]}","{3: [0.9711120179658871, 0.4644328864719167, 0.7305804455351853, 0.5324920397152277], 2: [0.5905432253453732, 0.9196729558421418], 1: [0.7488067890442115, 0.8743451019745608], 4: [0.6077246865377008], 0: [0.9463857909060902]}","{0: [0.0069997066595414], 1: [0.019124515412484108, 0.008976966710258416], 2: [0.031020255948278574, 0.08018477854912447, 0.008882971967875556, 0.04030958563291405], 3: [0.02669456912001069, 0.04192898993760979, 0.018328366351245278, 0.01812029042493674], 4: [0.3792709231635613, 0, 0.2555141998752815, 0, 0, 0.03597462374760133, 0.1777579085596536, 0.08685478646971662], 5: [0, 0.10003075472258048]}","[3, 1, 2]"
9,"{3: [0.040183077212126106, 0.14234604036106854, 0.1828358826395027, 0.11879005032539262], 2: [0.5312268931905108, 0.6600256231719753, 0.5770088682883618], 1: [0.6156520072239707, 0.7024551175176629], 0: [0.6709140452715364]}","{3: [0.9584752111169685, 0.46541319031844935, 0.5543674699918658, 0.5324920397152277], 2: [0.5653746642985388, 0.738499171850284, 0.9222250099044592], 1: [0.8427643105772662, 0.7419247302157442], 0: [0.9466766374629911]}","{0: [0.0069997066595414], 1: [0.0186092605877355, 0.009077907031717842], 2: [0.030378619176191092, 0.045202094057245484, 0.009198698828438863, 0.08484667141117938], 3: [0.03097928111985933, 0.08368503500232675, 0.14488914070846193, 0.05997878502799932, 0.022273402227950528, 0.01812029042493674], 4: [0.5130858961369019, 0, 0, 0.2773554420188532, 0.07788611761478934, 0.10713451789995997, 0.1777579085596536, 0.08685478646971662]}","[5, 1, 2]"
