,describe_tree,can,f1_score1,roc_auc,recall,prec,acc,score_arr,depth,num_node,score_train
0,"{split_feature:attribute_11,split_value:0.16766666666666669,gini_value:0.3491323125545109,train_num_sample:166,depth:0,left_tree:{split_feature:attribute_45,split_value:0.1586,gini_value:0.17666049470635714,train_num_sample:59,depth:1,left_tree:{leaf_value:1.0,train_num_sample:42,depth:2},right_tree:{split_feature:attribute_14,split_value:0.2261,gini_value:0.18823529411764697,train_num_sample:17,depth:2,left_tree:{leaf_value:1.0,train_num_sample:10,depth:3},right_tree:{leaf_value:0.0,train_num_sample:7,depth:3}}},right_tree:{split_feature:attribute_16,split_value:0.675709090909091,gini_value:0.2767751638199592,train_num_sample:107,depth:1,left_tree:{split_feature:attribute_9,split_value:0.0955,gini_value:0.20146290491118085,train_num_sample:87,depth:2,left_tree:{split_feature:attribute_22,split_value:0.5991,gini_value:0.15999999999999992,train_num_sample:10,depth:3,left_tree:{leaf_value:1.0,train_num_sample:5,depth:4},right_tree:{leaf_value:0.0,train_num_sample:5,depth:4}},right_tree:{split_feature:attribute_26,split_value:0.2736,gini_value:0.09828009828009827,train_num_sample:77,depth:3,left_tree:{leaf_value:1.0,train_num_sample:3,depth:4},right_tree:{split_feature:attribute_20,split_value:0.9399,gini_value:0.052552552552552624,train_num_sample:74,depth:4,left_tree:{leaf_value:0.0,train_num_sample:72,depth:5},right_tree:{leaf_value:1.0,train_num_sample:2,depth:5}}}},right_tree:{split_feature:attribute_55,split_value:0.018000000000000002,gini_value:0.09375,train_num_sample:20,depth:2,left_tree:{leaf_value:1.0,train_num_sample:16,depth:3},right_tree:{leaf_value:0.0,train_num_sample:4,depth:3}}}}","[1, 1, 2]",0.5945945945945946,0.6386363636363637,0.55,0.6470588235294118,0.6428571428571429,"[[11  9]
 [ 6 16]]",5,10,0.9578313253012049
1,"{split_feature:attribute_11,split_value:0.16766666666666669,gini_value:0.3491323125545109,train_num_sample:166,depth:0,left_tree:{split_feature:attribute_45,split_value:0.1586,gini_value:0.17666049470635714,train_num_sample:59,depth:1,left_tree:{leaf_value:1.0,train_num_sample:42,depth:2},right_tree:{split_feature:attribute_14,split_value:0.2261,gini_value:0.18823529411764697,train_num_sample:17,depth:2,left_tree:{split_feature:attribute_16,split_value:0.1196,gini_value:0.13333333333333333,train_num_sample:10,depth:3,left_tree:{leaf_value:0.0,train_num_sample:3,depth:4},right_tree:{leaf_value:1.0,train_num_sample:7,depth:4}},right_tree:{leaf_value:0.0,train_num_sample:7,depth:3}}},right_tree:{split_feature:attribute_16,split_value:0.6624444444444444,gini_value:0.286366317881206,train_num_sample:107,depth:1,left_tree:{split_feature:attribute_9,split_value:0.0955,gini_value:0.20361077111383105,train_num_sample:86,depth:2,left_tree:{split_feature:attribute_22,split_value:0.5991,gini_value:0.15999999999999992,train_num_sample:10,depth:3,left_tree:{leaf_value:1.0,train_num_sample:5,depth:4},right_tree:{leaf_value:0.0,train_num_sample:5,depth:4}},right_tree:{split_feature:attribute_26,split_value:0.2796,gini_value:0.11915204678362576,train_num_sample:76,depth:3,left_tree:{leaf_value:1.0,train_num_sample:4,depth:4},right_tree:{split_feature:attribute_20,split_value:0.9399,gini_value:0.05396825396825397,train_num_sample:72,depth:4,left_tree:{leaf_value:0.0,train_num_sample:70,depth:5},right_tree:{leaf_value:1.0,train_num_sample:2,depth:5}}}},right_tree:{split_feature:attribute_55,split_value:0.018000000000000002,gini_value:0.08928571428571427,train_num_sample:21,depth:2,left_tree:{leaf_value:1.0,train_num_sample:16,depth:3},right_tree:{leaf_value:0.0,train_num_sample:5,depth:3}}}}","[2, 1, 2]",0.5945945945945946,0.6386363636363637,0.55,0.6470588235294118,0.6428571428571429,"[[11  9]
 [ 6 16]]",5,11,0.9578313253012049
2,"{split_feature:attribute_11,split_value:0.16766666666666669,gini_value:0.3491323125545109,train_num_sample:166,depth:0,left_tree:{split_feature:attribute_45,split_value:0.1586,gini_value:0.17666049470635714,train_num_sample:59,depth:1,left_tree:{leaf_value:1.0,train_num_sample:42,depth:2},right_tree:{split_feature:attribute_14,split_value:0.2261,gini_value:0.18823529411764697,train_num_sample:17,depth:2,left_tree:{split_feature:attribute_24,split_value:0.4639,gini_value:0.13333333333333333,train_num_sample:10,depth:3,left_tree:{leaf_value:0.0,train_num_sample:3,depth:4},right_tree:{leaf_value:1.0,train_num_sample:7,depth:4}},right_tree:{leaf_value:0.0,train_num_sample:7,depth:3}}},right_tree:{split_feature:attribute_16,split_value:0.6624444444444444,gini_value:0.286366317881206,train_num_sample:107,depth:1,left_tree:{split_feature:attribute_9,split_value:0.0955,gini_value:0.20361077111383105,train_num_sample:86,depth:2,left_tree:{split_feature:attribute_31,split_value:0.5101,gini_value:0.15999999999999992,train_num_sample:10,depth:3,left_tree:{leaf_value:0.0,train_num_sample:5,depth:4},right_tree:{leaf_value:1.0,train_num_sample:5,depth:4}},right_tree:{split_feature:attribute_26,split_value:0.2796,gini_value:0.11915204678362576,train_num_sample:76,depth:3,left_tree:{leaf_value:1.0,train_num_sample:4,depth:4},right_tree:{split_feature:attribute_29,split_value:0.2967,gini_value:0.06902356902356904,train_num_sample:72,depth:4,left_tree:{leaf_value:1.0,train_num_sample:6,depth:5},right_tree:{split_feature:attribute_18,split_value:0.1299,gini_value:0.015151515151515152,train_num_sample:66,depth:5,left_tree:{leaf_value:1.0,train_num_sample:2,depth:6},right_tree:{leaf_value:0.0,train_num_sample:64,depth:6}}}}},right_tree:{split_feature:attribute_55,split_value:0.018000000000000002,gini_value:0.08928571428571427,train_num_sample:21,depth:2,left_tree:{leaf_value:1.0,train_num_sample:16,depth:3},right_tree:{leaf_value:0.0,train_num_sample:5,depth:3}}}}","[3, 1, 2]",0.5945945945945946,0.6386363636363637,0.55,0.6470588235294118,0.6428571428571429,"[[11  9]
 [ 6 16]]",5,12,0.9457831325301205
3,"{split_feature:attribute_11,split_value:0.19700000000000004,gini_value:0.35300758259129933,train_num_sample:166,depth:0,left_tree:{split_feature:attribute_45,split_value:0.1556,gini_value:0.26495203102674025,train_num_sample:71,depth:1,left_tree:{split_feature:attribute_24,split_value:0.9719,gini_value:0.10740740740740735,train_num_sample:48,depth:2,left_tree:{leaf_value:1.0,train_num_sample:45,depth:3},right_tree:{leaf_value:0.0,train_num_sample:3,depth:3}},right_tree:{split_feature:attribute_35,split_value:0.5194,gini_value:0.22541806020066885,train_num_sample:23,depth:2,left_tree:{split_feature:attribute_15,split_value:0.1729,gini_value:0.10256410256410256,train_num_sample:13,depth:3,left_tree:{leaf_value:1.0,train_num_sample:3,depth:4},right_tree:{leaf_value:0.0,train_num_sample:10,depth:4}},right_tree:{leaf_value:1.0,train_num_sample:10,depth:3}}},right_tree:{split_feature:attribute_17,split_value:0.7236,gini_value:0.2337156714950515,train_num_sample:95,depth:1,left_tree:{split_feature:attribute_26,split_value:0.2796,gini_value:0.12378399841175307,train_num_sample:73,depth:2,left_tree:{leaf_value:1.0,train_num_sample:4,depth:3},right_tree:{split_feature:attribute_20,split_value:0.9169,gini_value:0.07553798858146675,train_num_sample:69,depth:3,left_tree:{split_feature:attribute_39,split_value:0.0621,gini_value:0.04498106060606061,train_num_sample:66,depth:4,left_tree:{leaf_value:1.0,train_num_sample:2,depth:5},right_tree:{split_feature:attribute_18,split_value:0.1299,gini_value:0.020833333333333332,train_num_sample:64,depth:5,left_tree:{leaf_value:0.0,train_num_sample:3,depth:6},right_tree:{leaf_value:0.0,train_num_sample:61,depth:6}}},right_tree:{leaf_value:1.0,train_num_sample:3,depth:4}}},right_tree:{split_feature:attribute_55,split_value:0.0126,gini_value:0.16277056277056273,train_num_sample:22,depth:2,left_tree:{leaf_value:1.0,train_num_sample:15,depth:3},right_tree:{leaf_value:0.0,train_num_sample:7,depth:3}}}}","[5, 1, 2]",0.5945945945945946,0.6386363636363637,0.55,0.6470588235294118,0.6428571428571429,"[[11  9]
 [ 6 16]]",6,12,0.9337349397590361
4,"{split_feature:attribute_11,split_value:0.19700000000000004,gini_value:0.35300758259129933,train_num_sample:166,depth:0,left_tree:{split_feature:attribute_45,split_value:0.1556,gini_value:0.26495203102674025,train_num_sample:71,depth:1,left_tree:{split_feature:attribute_24,split_value:0.9719,gini_value:0.10740740740740735,train_num_sample:48,depth:2,left_tree:{leaf_value:1.0,train_num_sample:45,depth:3},right_tree:{leaf_value:0.0,train_num_sample:3,depth:3}},right_tree:{split_feature:attribute_35,split_value:0.5194,gini_value:0.22541806020066885,train_num_sample:23,depth:2,left_tree:{split_feature:attribute_15,split_value:0.1729,gini_value:0.10256410256410256,train_num_sample:13,depth:3,left_tree:{leaf_value:1.0,train_num_sample:3,depth:4},right_tree:{leaf_value:0.0,train_num_sample:10,depth:4}},right_tree:{leaf_value:1.0,train_num_sample:10,depth:3}}},right_tree:{split_feature:attribute_17,split_value:0.7236,gini_value:0.2337156714950515,train_num_sample:95,depth:1,left_tree:{split_feature:attribute_26,split_value:0.2847,gini_value:0.1360193392425463,train_num_sample:73,depth:2,left_tree:{leaf_value:1.0,train_num_sample:5,depth:3},right_tree:{split_feature:attribute_18,split_value:0.1299,gini_value:0.07662141779788843,train_num_sample:68,depth:3,left_tree:{leaf_value:1.0,train_num_sample:3,depth:4},right_tree:{split_feature:attribute_39,split_value:0.0621,gini_value:0.04566544566544578,train_num_sample:65,depth:4,left_tree:{leaf_value:1.0,train_num_sample:2,depth:5},right_tree:{split_feature:attribute_20,split_value:0.901,gini_value:0.021164021164021163,train_num_sample:63,depth:5,left_tree:{leaf_value:0.0,train_num_sample:60,depth:6},right_tree:{leaf_value:0.0,train_num_sample:3,depth:6}}}}},right_tree:{split_feature:attribute_55,split_value:0.0126,gini_value:0.16277056277056273,train_num_sample:22,depth:2,left_tree:{split_feature:attribute_31,split_value:0.2056,gini_value:0.06666666666666667,train_num_sample:15,depth:3,left_tree:{leaf_value:1.0,train_num_sample:2,depth:4},right_tree:{leaf_value:1.0,train_num_sample:13,depth:4}},right_tree:{leaf_value:0.0,train_num_sample:7,depth:3}}}}","[7, 1, 2]",0.6111111111111112,0.6613636363636364,0.55,0.6875,0.6666666666666666,"[[11  9]
 [ 5 17]]",6,13,0.927710843373494
5,"{split_feature:attribute_11,split_value:0.20770000000000025,gini_value:0.3594840354325103,train_num_sample:166,depth:0,left_tree:{split_feature:attribute_45,split_value:0.1556,gini_value:0.2841368431430543,train_num_sample:72,depth:1,left_tree:{split_feature:attribute_11,split_value:0.168,gini_value:0.12145345943255358,train_num_sample:49,depth:2,left_tree:{split_feature:attribute_52,split_value:0.0204,gini_value:0.024390243902439025,train_num_sample:41,depth:3,left_tree:{leaf_value:1.0,train_num_sample:39,depth:4},right_tree:{leaf_value:1.0,train_num_sample:2,depth:4}},right_tree:{split_feature:attribute_2,split_value:0.0218,gini_value:0.1999999999999999,train_num_sample:8,depth:3,left_tree:{leaf_value:1.0,train_num_sample:3,depth:4},right_tree:{leaf_value:0.0,train_num_sample:5,depth:4}}},right_tree:{split_feature:attribute_35,split_value:0.5194,gini_value:0.22541806020066885,train_num_sample:23,depth:2,left_tree:{split_feature:attribute_15,split_value:0.1729,gini_value:0.10256410256410256,train_num_sample:13,depth:3,left_tree:{leaf_value:1.0,train_num_sample:3,depth:4},right_tree:{leaf_value:0.0,train_num_sample:10,depth:4}},right_tree:{leaf_value:1.0,train_num_sample:10,depth:3}}},right_tree:{split_feature:attribute_18,split_value:0.5947,gini_value:0.24538663644325379,train_num_sample:94,depth:1,left_tree:{split_feature:attribute_18,split_value:0.1316,gini_value:0.07394852479598238,train_num_sample:59,depth:2,left_tree:{leaf_value:0.0,train_num_sample:5,depth:3},right_tree:{split_feature:attribute_10,split_value:0.0864,gini_value:0.024691358024691357,train_num_sample:54,depth:3,left_tree:{leaf_value:0.0,train_num_sample:3,depth:4},right_tree:{leaf_value:0.0,train_num_sample:51,depth:4}}},right_tree:{split_feature:attribute_23,split_value:0.7839,gini_value:0.2836466165413535,train_num_sample:35,depth:2,left_tree:{split_feature:attribute_26,split_value:0.2279,gini_value:0.09907120743034054,train_num_sample:19,depth:3,left_tree:{leaf_value:0.0,train_num_sample:2,depth:4},right_tree:{leaf_value:1.0,train_num_sample:17,depth:4}},right_tree:{split_feature:attribute_18,split_value:0.6122,gini_value:0.11607142857142855,train_num_sample:16,depth:3,left_tree:{leaf_value:1.0,train_num_sample:2,depth:4},right_tree:{leaf_value:0.0,train_num_sample:14,depth:4}}}}}","[10, 1, 2]",0.6111111111111112,0.6613636363636364,0.55,0.6875,0.6666666666666666,"[[11  9]
 [ 5 17]]",4,14,0.9457831325301205
6,"{split_feature:attribute_11,split_value:0.19700000000000004,gini_value:0.35300758259129933,train_num_sample:166,depth:0,left_tree:{split_feature:attribute_4,split_value:0.0505,gini_value:0.23904998619165987,train_num_sample:71,depth:1,left_tree:{split_feature:attribute_47,split_value:0.2655,gini_value:0.10130718954248355,train_num_sample:51,depth:2,left_tree:{leaf_value:1.0,train_num_sample:48,depth:3},right_tree:{leaf_value:0.0,train_num_sample:3,depth:3}},right_tree:{split_feature:attribute_45,split_value:0.1556,gini_value:0.2181818181818182,train_num_sample:20,depth:2,left_tree:{leaf_value:1.0,train_num_sample:11,depth:3},right_tree:{leaf_value:0.0,train_num_sample:9,depth:3}}},right_tree:{split_feature:attribute_52,split_value:0.0038,gini_value:0.29029239766081866,train_num_sample:95,depth:1,left_tree:{leaf_value:1.0,train_num_sample:5,depth:2},right_tree:{split_feature:attribute_6,split_value:0.2431,gini_value:0.2452196382428941,train_num_sample:90,depth:2,left_tree:{split_feature:attribute_37,split_value:0.4773,gini_value:0.19789108767875202,train_num_sample:86,depth:3,left_tree:{leaf_value:0.0,train_num_sample:63,depth:4},right_tree:{split_feature:attribute_45,split_value:0.2611,gini_value:0.07905138339920953,train_num_sample:23,depth:4,left_tree:{leaf_value:1.0,train_num_sample:11,depth:5},right_tree:{leaf_value:0.0,train_num_sample:12,depth:5}}},right_tree:{leaf_value:1.0,train_num_sample:4,depth:3}}}}","[1, 1, 2]",0.75,0.7613636363636364,0.75,0.75,0.7619047619047619,"[[15  5]
 [ 5 17]]",5,9,0.9397590361445783
7,"{split_feature:attribute_11,split_value:0.19700000000000004,gini_value:0.35300758259129933,train_num_sample:166,depth:0,left_tree:{split_feature:attribute_47,split_value:0.1634,gini_value:0.2408681597783422,train_num_sample:71,depth:1,left_tree:{split_feature:attribute_20,split_value:0.8261,gini_value:0.13803068516183276,train_num_sample:61,depth:2,left_tree:{split_feature:attribute_44,split_value:0.0255,gini_value:0.020833333333333332,train_num_sample:48,depth:3,left_tree:{leaf_value:1.0,train_num_sample:2,depth:4},right_tree:{leaf_value:1.0,train_num_sample:46,depth:4}},right_tree:{split_feature:attribute_44,split_value:0.1459,gini_value:0.1318681318681319,train_num_sample:13,depth:3,left_tree:{leaf_value:1.0,train_num_sample:7,depth:4},right_tree:{leaf_value:0.0,train_num_sample:6,depth:4}}},right_tree:{leaf_value:0.0,train_num_sample:10,depth:2}},right_tree:{split_feature:attribute_52,split_value:0.0038,gini_value:0.29029239766081866,train_num_sample:95,depth:1,left_tree:{leaf_value:1.0,train_num_sample:5,depth:2},right_tree:{split_feature:attribute_6,split_value:0.2062,gini_value:0.24708994708994717,train_num_sample:90,depth:2,left_tree:{split_feature:attribute_37,split_value:0.4773,gini_value:0.19459572685379128,train_num_sample:84,depth:3,left_tree:{leaf_value:0.0,train_num_sample:62,depth:4},right_tree:{split_feature:attribute_17,split_value:0.3635,gini_value:0.0844155844155844,train_num_sample:22,depth:4,left_tree:{leaf_value:0.0,train_num_sample:14,depth:5},right_tree:{leaf_value:1.0,train_num_sample:8,depth:5}}},right_tree:{leaf_value:1.0,train_num_sample:6,depth:3}}}}","[2, 1, 2]",0.7142857142857143,0.715909090909091,0.75,0.6818181818181818,0.7142857142857143,"[[15  5]
 [ 7 15]]",5,10,0.9457831325301205
8,"{split_feature:attribute_11,split_value:0.19700000000000004,gini_value:0.35300758259129933,train_num_sample:166,depth:0,left_tree:{split_feature:attribute_47,split_value:0.1634,gini_value:0.2408681597783422,train_num_sample:71,depth:1,left_tree:{split_feature:attribute_20,split_value:0.8261,gini_value:0.13803068516183276,train_num_sample:61,depth:2,left_tree:{split_feature:attribute_44,split_value:0.0375,gini_value:0.02777777777777778,train_num_sample:48,depth:3,left_tree:{leaf_value:1.0,train_num_sample:3,depth:4},right_tree:{leaf_value:1.0,train_num_sample:45,depth:4}},right_tree:{split_feature:attribute_44,split_value:0.1459,gini_value:0.1318681318681319,train_num_sample:13,depth:3,left_tree:{leaf_value:1.0,train_num_sample:7,depth:4},right_tree:{leaf_value:0.0,train_num_sample:6,depth:4}}},right_tree:{leaf_value:0.0,train_num_sample:10,depth:2}},right_tree:{split_feature:attribute_27,split_value:0.8145,gini_value:0.2961253400881884,train_num_sample:95,depth:1,left_tree:{split_feature:attribute_51,split_value:0.0135,gini_value:0.3712418300653594,train_num_sample:51,depth:2,left_tree:{split_feature:attribute_2,split_value:0.0201,gini_value:0.23529411764705885,train_num_sample:21,depth:3,left_tree:{leaf_value:0.0,train_num_sample:4,depth:4},right_tree:{split_feature:attribute_11,split_value:0.2251,gini_value:0.1098039215686274,train_num_sample:17,depth:4,left_tree:{leaf_value:0.0,train_num_sample:2,depth:5},right_tree:{leaf_value:1.0,train_num_sample:15,depth:5}}},right_tree:{split_feature:attribute_21,split_value:0.5605,gini_value:0.15900621118012417,train_num_sample:30,depth:3,left_tree:{leaf_value:1.0,train_num_sample:7,depth:4},right_tree:{leaf_value:0.0,train_num_sample:23,depth:4}}},right_tree:{leaf_value:0.0,train_num_sample:44,depth:2}}}","[3, 1, 2]",0.7906976744186046,0.7886363636363636,0.85,0.7391304347826086,0.7857142857142857,"[[17  3]
 [ 6 16]]",5,11,0.9397590361445783
9,"{split_feature:attribute_11,split_value:0.2132,gini_value:0.3715282181357007,train_num_sample:166,depth:0,left_tree:{split_feature:attribute_45,split_value:0.1586,gini_value:0.26695344129554655,train_num_sample:76,depth:1,left_tree:{split_feature:attribute_54,split_value:0.0156,gini_value:0.12303716954879748,train_num_sample:52,depth:2,left_tree:{split_feature:attribute_44,split_value:0.0431,gini_value:0.0310077519379845,train_num_sample:43,depth:3,left_tree:{leaf_value:1.0,train_num_sample:3,depth:4},right_tree:{leaf_value:1.0,train_num_sample:40,depth:4}},right_tree:{split_feature:attribute_22,split_value:0.5212,gini_value:0.1777777777777777,train_num_sample:9,depth:3,left_tree:{leaf_value:1.0,train_num_sample:4,depth:4},right_tree:{leaf_value:0.0,train_num_sample:5,depth:4}}},right_tree:{split_feature:attribute_5,split_value:0.0391,gini_value:0.21874999999999997,train_num_sample:24,depth:2,left_tree:{leaf_value:1.0,train_num_sample:8,depth:3},right_tree:{leaf_value:0.0,train_num_sample:16,depth:3}}},right_tree:{split_feature:attribute_27,split_value:0.8145,gini_value:0.28833333333333333,train_num_sample:90,depth:1,left_tree:{split_feature:attribute_51,split_value:0.0135,gini_value:0.35999999999999993,train_num_sample:50,depth:2,left_tree:{split_feature:attribute_1,split_value:0.0209,gini_value:0.23516483516483508,train_num_sample:20,depth:3,left_tree:{leaf_value:0.0,train_num_sample:7,depth:4},right_tree:{leaf_value:1.0,train_num_sample:13,depth:4}},right_tree:{split_feature:attribute_21,split_value:0.5605,gini_value:0.15900621118012417,train_num_sample:30,depth:3,left_tree:{leaf_value:1.0,train_num_sample:7,depth:4},right_tree:{leaf_value:0.0,train_num_sample:23,depth:4}}},right_tree:{leaf_value:0.0,train_num_sample:40,depth:2}}}","[5, 1, 2]",0.7,0.7136363636363636,0.7,0.7,0.7142857142857143,"[[14  6]
 [ 6 16]]",4,11,0.927710843373494
